,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1566667um,Full Phase Curve Noise Estimate 1.1566667-1.2133333um,Full Phase Curve Noise Estimate 1.2133333-1.27um,Full Phase Curve Noise Estimate 1.27-1.3266667um,Full Phase Curve Noise Estimate 1.3266667-1.3833333um,Full Phase Curve Noise Estimate 1.3833333-1.44um,Full Phase Curve Noise Estimate 1.44-1.4966667um,Full Phase Curve Noise Estimate 1.4966667-1.5533333um,Full Phase Curve Noise Estimate 1.5533333-1.61um,Full Phase Curve Noise Estimate 1.61-1.6666667um,Full Phase Curve Noise Estimate 1.6666667-1.7233333um,Full Phase Curve Noise Estimate 1.7233333-1.78um,Full Phase Curve Noise Estimate 1.78-1.8366667um,Full Phase Curve Noise Estimate 1.8366667-1.8933333um,Full Phase Curve Noise Estimate 1.8933333-1.95um
10,TOI-4463Ab,1.5494590878219665e-05,1.6082532773974907e-05,1.6696401292079397e-05,1.7333872530350463e-05,1.799302965115611e-05,1.8672250743640945e-05,1.9370274190187366e-05,2.0085998359126098e-05,2.0818433205169375e-05,2.1566827412537075e-05,2.2330483767590167e-05,2.3108733813131e-05,2.3901100084851482e-05,2.470710655058873e-05,2.5526262645383997e-05
11,TOI-3785b,2.4161046256675e-05,2.4403770118086062e-05,2.4723084420385803e-05,2.5107024141436926e-05,2.5546249835797577e-05,2.6033333655118745e-05,2.65624639542699e-05,2.7128886273867607e-05,2.772864057055336e-05,2.8358586074368397e-05,2.9016043068472984e-05,2.9698679822556504e-05,3.0404660302637616e-05,3.113234942428393e-05,3.1880257195752075e-05
12,WASP-124b,3.513191464344311e-05,3.657338511190029e-05,3.807053902580055e-05,3.9618918010880725e-05,4.1214804410976186e-05,4.2855012874104474e-05,4.4537075101554835e-05,4.625880634946347e-05,4.801821254312459e-05,4.981379741238509e-05,5.164414807281684e-05,5.35078843402706e-05,5.54040404818093e-05,5.733163189181133e-05,5.928962167692439e-05
13,WASP-25b,2.1132535082238402e-05,2.195292426247168e-05,2.2808109917382727e-05,2.369506698085281e-05,2.461129299960482e-05,2.555466342689994e-05,2.652352729081503e-05,2.751643772898791e-05,2.853208899642696e-05,2.9569493188114796e-05,3.062772922741824e-05,3.170590951251426e-05,3.280340359245331e-05,3.391957907021609e-05,3.505378032976641e-05
14,LHS1140c,1.727676590918544e-05,1.7178885675752082e-05,1.7159692681999768e-05,1.720512117741175e-05,1.7304397803588402e-05,1.7449119122401283e-05,1.763275352554468e-05,1.7850056755199932e-05,1.8096750506040528e-05,1.8369431450001695e-05,1.866525744931988e-05,1.8981816668303692e-05,1.9317178287912237e-05,1.9669669374866707e-05,2.0037814224393686e-05
15,TOI-1199b,1.3977560319396587e-05,1.4515792927775637e-05,1.5077172480350052e-05,1.565966422672194e-05,1.6261586723010243e-05,1.6881514191074864e-05,1.751833826667712e-05,1.817108889665545e-05,1.8838891966911632e-05,1.952108541003714e-05,2.0217052996384475e-05,2.0926201988510898e-05,2.1648110516750546e-05,2.2382356341976875e-05,2.312850266785614e-05
16,TOI-1273b,1.231937045122164e-05,1.2791792844585684e-05,1.328467571387746e-05,1.379621044519305e-05,1.4324903256183733e-05,1.4869488269411732e-05,1.5428981247045865e-05,1.600252134206204e-05,1.6589333434269727e-05,1.7188830113444806e-05,1.7800465104363994e-05,1.842371344392799e-05,1.905820111873735e-05,1.9703554201692886e-05,2.0359386294482505e-05
17,TOI-5803b,8.69349664758245e-06,8.983599557599147e-06,9.289639019615128e-06,9.609968830773213e-06,9.943249072764442e-06,1.0288363245877026e-05,1.0644439408394116e-05,1.1010728700359834e-05,1.1386570936550633e-05,1.1771458292001757e-05,1.216492958043538e-05,1.256655312069799e-05,1.297601241168739e-05,1.3393000770043994e-05,1.38172111590388e-05
18,TOI-3819b,3.052379107021674e-05,3.1734154188449516e-05,3.2994039880741175e-05,3.4299270518146564e-05,3.564638019920647e-05,3.7032416598144376e-05,3.845508779163363e-05,3.9912377946012926e-05,4.140246032239359e-05,4.292395698103014e-05,4.447557722830586e-05,4.6056071047088054e-05,4.7664555440880786e-05,4.930013938225904e-05,5.096189374628042e-05
19,TOI-4791b,1.6490731146427185e-05,1.7168265820796705e-05,1.7871914194365258e-05,1.8599589969349703e-05,1.93495530963565e-05,2.0120312305616203e-05,2.0910712116986467e-05,2.171972951927925e-05,2.254643050300172e-05,2.339011438078782e-05,2.425011929149098e-05,2.512579846213595e-05,2.601669951497704e-05,2.6922361035056263e-05,2.7842296907091342e-05
20,TOI-4377b,1.1699502209584414e-05,1.207045298479136e-05,1.2463630104428694e-05,1.2876632254386429e-05,1.330751304696059e-05,1.3754658406886614e-05,1.4216806516453636e-05,1.4692879254070731e-05,1.5181931895165038e-05,1.5683234769735616e-05,1.6196129696506416e-05,1.6720005325196077e-05,1.725440971387832e-05,1.779890890119011e-05,1.835307254657566e-05
21,Wolf327b,2.393043063423868e-05,2.4152668505934605e-05,2.4452152807699185e-05,2.4816717508433003e-05,2.5236875799016947e-05,2.5705090613473212e-05,2.6215466229508646e-05,2.6763184458978695e-05,2.7344236951368867e-05,2.795544353152424e-05,2.8594094275219512e-05,2.9257834678820223e-05,2.9944808596358836e-05,3.065336578100641e-05,3.138200537087394e-05
22,HD118203b,2.8849131187985183e-06,2.9995884850344146e-06,3.1189365055237722e-06,3.2425644114048477e-06,3.3701462359271638e-06,3.501404203449495e-06,3.6361226999901003e-06,3.774112003180924e-06,3.91520010312626e-06,4.059257296348047e-06,4.206162024711771e-06,4.355796491291981e-06,4.508077540092227e-06,4.6629211993771145e-06,4.820239847075349e-06
23,TOI-1470b,2.113613027014065e-05,2.1408230680743596e-05,2.174293867330942e-05,2.2130784048854778e-05,2.2564346160514837e-05,2.303769900476952e-05,2.354620245285528e-05,2.4086044918565442e-05,2.4654036847819004e-05,2.5247652396625442e-05,2.586472578559099e-05,2.6503361360320624e-05,2.7162073635806256e-05,2.783953094535108e-05,2.8534510341370737e-05
24,V1298Taub,3.2726720734568445e-06,3.3762960931581003e-06,3.4861432766257293e-06,3.60154052559104e-06,3.7219423164801894e-06,3.846896318724802e-06,3.976048910448382e-06,4.109097989063679e-06,4.245778871357235e-06,4.3858871053728376e-06,4.529238301266432e-06,4.675661221911148e-06,4.825029253932822e-06,4.977220848888178e-06,5.132115501421329e-06
25,TOI-2109b,2.078015832738729e-05,2.1697675047433502e-05,2.2646609945847627e-05,2.362475390555764e-05,2.463024055500085e-05,2.5661446624085843e-05,2.6717120482953514e-05,2.779613624206842e-05,2.889744756931591e-05,3.0020279731301755e-05,3.1163886230156216e-05,3.2327522343650827e-05,3.351067893650469e-05,3.471282365712523e-05,3.593338258910655e-05
26,K2-138g,6.458316157232048e-06,6.6875781832467274e-06,6.928171283820627e-06,7.178995872438704e-06,7.439151720556091e-06,7.707883652066478e-06,7.984602861078443e-06,8.26879998213552e-06,8.560022157371548e-06,8.857923075222458e-06,9.16218523501209e-06,9.472508273152306e-06,9.788674487908205e-06,1.0110470256290466e-05,1.0437678918979733e-05
27,K2-141c,7.046332893117062e-06,7.238709189680354e-06,7.445866625264688e-06,7.666033096130312e-06,7.897786216248629e-06,8.139959550371575e-06,8.391639569595623e-06,8.652054984696615e-06,8.92053935125671e-06,9.196573295250707e-06,9.479695598708364e-06,9.769485517949254e-06,1.006562607771488e-05,1.0367819287905448e-05,1.0675776301281427e-05
28,TRAPPIST-1b,5.1119924209450916e-05,5.001854817817937e-05,4.9241896251309074e-05,4.8726339938079056e-05,4.842395730661788e-05,4.829798028590306e-05,4.832008986363012e-05,4.846789128627912e-05,4.872340357200954e-05,4.9072359951541406e-05,4.9503031282128035e-05,5.000563755791149e-05,5.0572301926869285e-05,5.1196323875123303e-05,5.187191872178659e-05
29,TRAPPIST-1e,2.5822214694891647e-05,2.5265876461235904e-05,2.487356616130908e-05,2.4613143126388555e-05,2.446040054411076e-05,2.439676575345276e-05,2.440793396764147e-05,2.4482592921598748e-05,2.4611659879372006e-05,2.47879282657355e-05,2.5005473337120535e-05,2.5259354917756385e-05,2.5545594172243938e-05,2.5860806469040752e-05,2.620206979145539e-05
30,TRAPPIST-1f,2.1067911813955093e-05,2.0614004781429744e-05,2.0293925388541742e-05,2.008145060282502e-05,1.995683049213014e-05,1.9904911933876213e-05,1.99140238924912e-05,1.997493688065581e-05,2.0080240446465e-05,2.022405486607901e-05,2.040154624060496e-05,2.0608683963500653e-05,2.0842221769707068e-05,2.1099398195124337e-05,2.1377829215349385e-05
31,TRAPPIST-1g,1.8212600356393923e-05,1.7820210856412007e-05,1.7543511479821443e-05,1.7359833173578213e-05,1.725210269262224e-05,1.7207220600798946e-05,1.7215097625450662e-05,1.7267755141760418e-05,1.7358787028409744e-05,1.748311043421505e-05,1.7636546593407958e-05,1.7815611163221368e-05,1.801749784141266e-05,1.823981942214512e-05,1.8480514985282184e-05
32,GJ3473b,2.5136208173540304e-05,2.5252225026869756e-05,2.5458845926241977e-05,2.5741132738345055e-05,2.6087506001259884e-05,2.6488822871672092e-05,2.6937943415970734e-05,2.742906793774576e-05,2.7957404370669087e-05,2.8519144690563393e-05,2.9111067100813603e-05,2.9730395886682928e-05,3.0374929109131487e-05,3.104272731554617e-05,3.173204602935946e-05
33,TOI-2202b,1.6061951035542613e-05,1.6599548814823595e-05,1.7166528573342286e-05,1.7759863746514305e-05,1.837709023367637e-05,1.9016154181377357e-05,1.967545172139523e-05,2.0353604938255433e-05,2.1049398618961063e-05,2.1761898244639057e-05,2.2490254761913452e-05,2.3233673055340532e-05,2.399157046141635e-05,2.4763382069933722e-05,2.554854198570831e-05
34,TOI-833b,1.6439983091125287e-05,1.6718459289356982e-05,1.7041081515452115e-05,1.7401514331903712e-05,1.779476393853471e-05,1.8216816848828002e-05,1.8664528048165513e-05,1.9135297372170314e-05,1.962693272675205e-05,2.0137703268960876e-05,2.0666112955281316e-05,2.121083981749851e-05,2.1770856507650232e-05,2.2345232079107922e-05,2.293310079509735e-05
35,HD28109c,1.9288620602620986e-06,2.0089307714122936e-06,2.092032934363756e-06,2.1779302282557124e-06,2.266423555839325e-06,2.3573419609805516e-06,2.450553062672969e-06,2.545939415729285e-06,2.6433935440929973e-06,2.742834957269225e-06,2.844187426990865e-06,2.9473762579453147e-06,3.0523493634917255e-06,3.1590534413912203e-06,3.267432160949568e-06
36,TOI-2641b,1.7297572230882688e-05,1.801325572708797e-05,1.8756202125107583e-05,1.952425793858078e-05,2.0315625068249938e-05,2.1128760510153742e-05,2.196246919270859e-05,2.281569157948008e-05,2.3687458794008754e-05,2.4577044830852604e-05,2.548376270435742e-05,2.640693983837838e-05,2.7346106773671155e-05,2.8300783602896634e-05,2.9270463658657122e-05
37,TOI-1685b,2.670712840978766e-05,2.6887909201185638e-05,2.716020622021512e-05,2.7509233286649947e-05,2.7923497860588686e-05,2.8393900374486943e-05,2.8913328919006275e-05,2.947599081926367e-05,3.00770852050913e-05,3.071279945459965e-05,3.13798976060307e-05,3.2075581284244175e-05,3.27976365323905e-05,3.354410523379187e-05,3.431321747745297e-05
38,K2-87b,1.7875144306886594e-05,1.8568659608881237e-05,1.929162026354246e-05,2.0041464281244736e-05,2.0816072452117807e-05,2.1613645762491398e-05,2.2432786171988313e-05,2.3272268601465753e-05,2.4130987583555574e-05,2.5008106670990934e-05,2.5902846098923305e-05,2.681445454555918e-05,2.7742398276472305e-05,2.8686141998164267e-05,2.9645130853056785e-05
39,WASP-178b,1.2784306969519461e-05,1.3463620275736254e-05,1.4160787505918039e-05,1.4875016722437487e-05,1.560560159772477e-05,1.6351890207837417e-05,1.7113390082320114e-05,1.788962965329139e-05,1.868014110818912e-05,1.948459398000078e-05,2.0302646090026186e-05,2.1133931726718194e-05,2.1978218660744752e-05,2.2835243186590996e-05,2.3704700495660405e-05
40,HIP29442b,3.3774283640348986e-06,3.4952172686418697e-06,3.6190070716485383e-06,3.748204319849489e-06,3.882324011527374e-06,4.0209601204037225e-06,4.163795907596767e-06,4.310557969917703e-06,4.4610038560886155e-06,4.6149478251124316e-06,4.772220077111988e-06,4.932660491446628e-06,5.09615260852925e-06,5.262582584836816e-06,5.431835406517304e-06
41,HD152843c,2.1965269710351215e-06,2.2904400800735032e-06,2.387741519315574e-06,2.4881782722141656e-06,2.591537889139016e-06,2.697636884873e-06,2.806333447355151e-06,2.917500971809855e-06,3.0310227817161073e-06,3.146811949006001e-06,3.264785496205643e-06,3.3848614399717886e-06,3.5069831306801226e-06,3.631092019354383e-06,3.7571256544283993e-06
42,K2-26b,1.4797957448702638e-05,1.5010961633778695e-05,1.5266221824111914e-05,1.555746496519017e-05,1.5879765006639445e-05,1.62291789837795e-05,1.6602618471504094e-05,1.699754060723872e-05,1.7411811813369213e-05,1.784374415354477e-05,1.829188615829936e-05,1.8754963062270587e-05,1.923197882395945e-05,1.9722037104366846e-05,2.0224311040393062e-05
43,TOI-1246d,8.501167360031645e-06,8.786297540916805e-06,9.086955983225208e-06,9.401546302127491e-06,9.72876855084407e-06,1.0067538981891575e-05,1.041701133007276e-05,1.0776458386903022e-05,1.1145238641489444e-05,1.1522858850992929e-05,1.190887074822219e-05,1.230285440206542e-05,1.270450219683033e-05,1.3113515771065298e-05,1.3529596119639825e-05
44,WASP-62b,9.129201581244474e-06,9.514834465262439e-06,9.914660346231926e-06,1.0327596601552331e-05,1.0752736130310293e-05,1.1189297416628007e-05,1.163667595321009e-05,1.2094333481049376e-05,1.256177541340572e-05,1.3038632461238625e-05,1.3524553283427789e-05,1.4019191943726107e-05,1.4522308491660745e-05,1.5033655956029286e-05,1.555297191621096e-05
45,WASP-80b,1.2010767744798444e-05,1.2260007315621266e-05,1.2538665378575833e-05,1.2842755717151767e-05,1.3169117142242792e-05,1.3515192080060599e-05,1.3878975822574734e-05,1.4258799600426552e-05,1.4653245291729831e-05,1.5061197356265257e-05,1.5481683190157624e-05,1.5913834479511026e-05,1.635698285508995e-05,1.6810515498960376e-05,1.7273854771002628e-05
46,WASP-22b,2.194876371852053e-05,2.2841622195663915e-05,2.376947190967028e-05,2.4729472886329585e-05,2.571926013871012e-05,2.6736810406375666e-05,2.7780555120825445e-05,2.8849108206500388e-05,2.9941206923256518e-05,3.1055902458621504e-05,3.2192300759870906e-05,3.334953041468306e-05,3.45269801797227e-05,3.572402853092797e-05,3.69400226026909e-05
47,WASP-60b,2.7537002647490633e-05,2.8637302712050956e-05,2.9782044338714467e-05,3.0967520533815463e-05,3.219065249997286e-05,3.344881436131449e-05,3.473996840904584e-05,3.606231996501698e-05,3.741424018286831e-05,3.879450178387649e-05,4.020195319643663e-05,4.163547705987942e-05,4.309428570495183e-05,4.4577582524392286e-05,4.608453506004023e-05
48,TOI-1296b,1.575222587473428e-05,1.634516497833541e-05,1.6964612021016825e-05,1.7608166360750836e-05,1.8273849795798095e-05,1.8959990380112043e-05,1.9665287155794882e-05,2.038860552581098e-05,2.112892725112186e-05,2.188547883851038e-05,2.2657543627203847e-05,2.3444435700479813e-05,2.4245664193777102e-05,2.5060740721500484e-05,2.588916301374879e-05
49,HAT-P-59b,1.901955857010069e-05,1.974709372444939e-05,2.050627313667212e-05,2.1294290250316328e-05,2.2108827791187382e-05,2.2947922748605938e-05,2.3810048690367382e-05,2.469387107756591e-05,2.5598188817515576e-05,2.652209138516508e-05,2.746473245079136e-05,2.8425299155801585e-05,2.9403212019236443e-05,3.0397892078734468e-05,3.140874145371471e-05
50,XO-5b,2.0073147861312965e-05,2.0799026711993903e-05,2.1559662376463365e-05,2.2351751050858648e-05,2.3172582678529352e-05,2.4019878783418994e-05,2.4891863889822985e-05,2.5786998351499527e-05,2.670390948251526e-05,2.7641549630626028e-05,2.859895527138687e-05,2.9575211692561362e-05,3.0569658438393847e-05,3.1581644727621064e-05,3.2610507742165174e-05
51,WASP-99b,5.8674654404110364e-06,6.112215510468464e-06,6.366163404883824e-06,6.628592319955978e-06,6.898902946319917e-06,7.176580210091088e-06,7.461225379211025e-06,7.75248435693919e-06,8.050032741161962e-06,8.353627782030224e-06,8.663039295617434e-06,8.97804142908973e-06,9.298476919796176e-06,9.62418458006894e-06,9.954993809962694e-06
52,HATS-56b,1.624803764617376e-05,1.696506559752927e-05,1.7706667350141083e-05,1.8471113252795034e-05,1.9256942166858606e-05,2.0062883426822522e-05,2.0887957239569015e-05,2.173128235861214e-05,2.259203992613503e-05,2.3469623572263986e-05,2.4363449120856506e-05,2.527293388142849e-05,2.6197679420594848e-05,2.713726921914254e-05,2.8091254317747236e-05
53,WASP-70Ab,1.4610153119924835e-05,1.5178812715010415e-05,1.577148536159796e-05,1.638609096352379e-05,1.7020908191066825e-05,1.7674475079349247e-05,1.834565567932664e-05,1.9033454051006106e-05,1.9736970949034412e-05,2.045552626243797e-05,2.118848553633702e-05,2.1935237007556717e-05,2.269534643576615e-05,2.3468377928463606e-05,2.4253879272805935e-05
54,K2-417b,1.8179055034103454e-05,1.8467199926789524e-05,1.880546195407726e-05,1.9186540894064976e-05,1.9604691873252582e-05,2.005530594873575e-05,2.053477208553843e-05,2.1040110212976493e-05,2.156881319837137e-05,2.2118899696182698e-05,2.2688661005160296e-05,2.32765912875846e-05,2.388151748790954e-05,2.45023798607678e-05,2.5138196369821837e-05
55,TOI-1759b,4.0307585319630486e-06,4.102785993487098e-06,4.185396541996029e-06,4.277091350169859e-06,4.376687302736182e-06,4.4832320559990724e-06,4.595979259200598e-06,4.714310879202275e-06,4.837704913548096e-06,4.965749534417871e-06,5.098088067535916e-06,5.2344045900917525e-06,5.374454118369717e-06,5.518014054347316e-06,5.664876743337779e-06
56,WASP-150b,1.935798890774921e-05,2.0174186954102814e-05,2.10205169669735e-05,2.1894673140345907e-05,2.2794724119388355e-05,2.371900654983801e-05,2.4666233661677664e-05,2.56352601570515e-05,2.6625034130666992e-05,2.763476990729144e-05,2.8663720368937085e-05,2.9711150274220656e-05,3.0776549346852355e-05,3.18593927085159e-05,3.295912297247376e-05
57,Qatar-4b,4.982685110723582e-05,5.1529391105976456e-05,5.3321757099817375e-05,5.5194879128081924e-05,5.714135908601269e-05,5.915501736870746e-05,6.123103068148701e-05,6.336524567047924e-05,6.5553989523166e-05,6.77944430140075e-05,7.008403699563564e-05,7.242035732771474e-05,7.480164140648185e-05,7.72261734330366e-05,7.969222742842183e-05
58,TOI-1201b,1.5926465617447406e-05,1.6050180487632158e-05,1.6227195456139957e-05,1.6448983498449875e-05,1.6708908542066077e-05,1.7001709279666486e-05,1.7323272211602726e-05,1.7670242501891596e-05,1.8039835630618034e-05,1.8429841041475527e-05,1.8838379630023104e-05,1.9263823436013438e-05,1.9704886234025212e-05,2.0160428133477797e-05,2.0629416342358506e-05
59,HAT-P-35b,2.6326965875868918e-05,2.7415519107769446e-05,2.8545584904188748e-05,2.9713880656413416e-05,3.0917665772794577e-05,3.215458875596145e-05,3.342282827642647e-05,3.4720769778709396e-05,3.604693707832058e-05,3.74002239085394e-05,3.8779583635334745e-05,4.018399175905965e-05,4.1612733037606026e-05,4.306507646570875e-05,4.4540250431283774e-05
60,TOI-561b,2.0143819043875135e-05,2.0853289014061203e-05,2.1598300027132488e-05,2.237537363943517e-05,2.3181664321519077e-05,2.401478722887702e-05,2.487288247890781e-05,2.5754342713970194e-05,2.6657740538239853e-05,2.758198350398957e-05,2.8526071343495396e-05,2.9489059142356965e-05,3.047026095716733e-05,3.1469004847710605e-05,3.2484610511370946e-05
61,WASP-53b,2.5950568419649234e-05,2.6767474937447375e-05,2.7633926647305046e-05,2.8544539179338902e-05,2.9494950617599408e-05,3.0481546041846885e-05,3.150149910519402e-05,3.255239654964927e-05,3.3632125385506386e-05,3.473905275976461e-05,3.587170710068732e-05,3.702872292369935e-05,3.8209089703914076e-05,3.9411838276185506e-05,4.063600877314766e-05
62,KELT-20b,4.591138759491371e-06,4.836230978902531e-06,5.087729810797493e-06,5.345355074089445e-06,5.608856398813902e-06,5.878002236996276e-06,6.152617789527308e-06,6.432535334450145e-06,6.7175881506885966e-06,7.007658625596509e-06,7.302624714043913e-06,7.602355724472966e-06,7.906768829783343e-06,8.215769760420983e-06,8.529249357318105e-06
63,KELT-6b,7.924175223877565e-06,8.252144517914178e-06,8.592600443240989e-06,8.944557218409732e-06,9.307191700323912e-06,9.679797481445045e-06,1.0061827453063756e-05,1.0452796522899324e-05,1.0852261072819886e-05,1.1259888705979721e-05,1.167536486413391e-05,1.2098381559659834e-05,1.2528723837680157e-05,1.2966171936085614e-05,1.3410493815398095e-05
64,piMenc,9.92294476773253e-07,1.0329186075040447e-06,1.0751178551976602e-06,1.1187656599438122e-06,1.1637565251489526e-06,1.2100000954993849e-06,1.257426346634687e-06,1.3059733251846265e-06,1.3555845121521937e-06,1.4062174828736966e-06,1.457832198860325e-06,1.510389570934875e-06,1.5638622303952094e-06,1.618222293042198e-06,1.6734404132366054e-06
65,HATS-24b,4.545882189221765e-05,4.7412716934624256e-05,4.943650019334046e-05,5.1525002341926036e-05,5.367387868754156e-05,5.587937274132437e-05,5.8138582252923086e-05,6.044891311900694e-05,6.280797149952618e-05,6.521397564399576e-05,6.766522225351724e-05,7.016002584498511e-05,7.269722374322617e-05,7.527561207020279e-05,7.78939045074628e-05
66,HD191939d,1.6361694006607878e-06,1.6941270890064988e-06,1.754959809358878e-06,1.81838791261704e-06,1.8841825006729117e-06,1.9521516056875703e-06,2.0221455419436633e-06,2.0940348541614515e-06,2.1677044848034507e-06,2.2430664270207604e-06,2.3200400241704355e-06,2.398549003173087e-06,2.478538058001569e-06,2.559952944255787e-06,2.6427386727856178e-06
67,WASP-147b,2.2179494413812715e-05,2.3032151071936217e-05,2.392157977945451e-05,2.484454087150704e-05,2.57983577732196e-05,2.6780761440865588e-05,2.7789987849936123e-05,2.882449351408535e-05,2.9882888021046274e-05,3.096411801998099e-05,3.206720342238715e-05,3.3191201852387996e-05,3.43354423185187e-05,3.5499253538614074e-05,3.668194138887663e-05
68,WASP-97b,1.4861837607846257e-05,1.542576969525918e-05,1.6014569638435637e-05,1.6626008436485773e-05,1.7258247529757955e-05,1.790973124143976e-05,1.8579249474646185e-05,1.926574558508756e-05,1.9968269957997867e-05,2.0686101959111636e-05,2.141857284693303e-05,2.2165041462079567e-05,2.292504983847353e-05,2.3698141383697822e-05,2.44838455660159e-05
69,WASP-15b,1.396085757596809e-05,1.4556872760316802e-05,1.5174444265130025e-05,1.5811958145513774e-05,1.6468059587548087e-05,1.7141578844212997e-05,1.783161174949352e-05,1.8537351362315733e-05,1.925805429502587e-05,1.9993166547225318e-05,2.0742159514149376e-05,2.150451114806102e-05,2.2279860548662468e-05,2.3067834907292077e-05,2.3868036755421697e-05
70,HATS-58Ab,1.662478244801508e-05,1.7414383231766355e-05,1.822812849026591e-05,1.9064567321965236e-05,1.992245299438826e-05,2.0800680290390658e-05,2.1698402649541758e-05,2.2614842867028584e-05,2.3549262514589345e-05,2.4501123683641336e-05,2.546989514715474e-05,2.6455033737343373e-05,2.7456177991538933e-05,2.847293862108362e-05,2.9504884824166557e-05
71,WASP-139b,1.917644089332233e-05,1.9848992026380286e-05,2.0555479318106285e-05,2.1292566431417462e-05,2.205752523163992e-05,2.2848070369878377e-05,2.3662419340380184e-05,2.4499032461646385e-05,2.5356543268568274e-05,2.6233905500942573e-05,2.7130161835539747e-05,2.8044408615342972e-05,2.8975989303286667e-05,2.9924261346991994e-05,3.088857479850904e-05
