,Planet Name,Noise Estimate 1.1-1.185um,Full Phase Curve Noise Estimate 1.1-1.185um,Noise Estimate 1.185-1.27um,Full Phase Curve Noise Estimate 1.185-1.27um,Noise Estimate 1.27-1.355um,Full Phase Curve Noise Estimate 1.27-1.355um,Noise Estimate 1.355-1.44um,Full Phase Curve Noise Estimate 1.355-1.44um,Noise Estimate 1.44-1.525um,Full Phase Curve Noise Estimate 1.44-1.525um,Noise Estimate 1.525-1.61um,Full Phase Curve Noise Estimate 1.525-1.61um,Noise Estimate 1.61-1.695um,Full Phase Curve Noise Estimate 1.61-1.695um,Noise Estimate 1.695-1.78um,Full Phase Curve Noise Estimate 1.695-1.78um,Noise Estimate 1.78-1.865um,Full Phase Curve Noise Estimate 1.78-1.865um,Noise Estimate 1.865-1.95um,Full Phase Curve Noise Estimate 1.865-1.95um
19,TOI-4791b,4.565565968206816e-05,1.3598563164121779e-05,4.849490453157259e-05,1.4444233792763638e-05,5.148588256304913e-05,1.5335098232501636e-05,5.46122622030538e-05,1.6266292115268504e-05,5.786171219520684e-05,1.7234142569618713e-05,6.122466277693926e-05,1.823579923654603e-05,6.469350620697866e-05,1.926899614615868e-05,6.826206463266938e-05,2.0331893221670086e-05,7.192522612569259e-05,2.142296787243939e-05,7.567868964545851e-05,2.2540939031178578e-05
20,TOI-4377b,3.294914050512003e-05,9.62609042774551e-06,3.455038833092274e-05,1.0093894932874033e-05,3.6280404994912015e-05,1.0599319250284664e-05,3.812056089623128e-05,1.1136920742636077e-05,4.005720399165046e-05,1.1702710965900841e-05,4.208004822165703e-05,1.2293684848095452e-05,4.418115196385126e-05,1.2907522244469822e-05,4.635424937474037e-05,1.3542392589032154e-05,4.859430022961864e-05,1.4196823380283176e-05,5.0897179228311355e-05,1.48696094118984e-05
21,Wolf327b,3.0358810442315176e-05,1.9581459383495556e-05,3.0854205570067526e-05,1.9900989675741243e-05,3.1544081631861056e-05,2.034596034115397e-05,3.238731691344947e-05,2.0889847837949274e-05,3.335507865484726e-05,2.1514055010627832e-05,3.442654716708542e-05,2.2205153141529627e-05,3.558629952865558e-05,2.2953194432743908e-05,3.6822651086609215e-05,2.3750642272862388e-05,3.812657121691886e-05,2.459167190146049e-05,3.94909550497953e-05,2.54717006712877e-05
22,HD118203b,9.517744891189602e-06,2.3782014073499483e-06,1.0091183103258106e-05,2.521486563504108e-06,1.0696880579781248e-05,2.6728323505118123e-06,1.133119013953628e-05,2.831327446246238e-06,1.199137184419856e-05,2.9962872216009954e-06,1.267530994205353e-05,3.1671830131413423e-06,1.338133070735894e-05,3.3435966065779435e-06,1.410808151320657e-05,3.525190020671176e-06,1.4854448329765289e-05,3.7116848924955242e-06,1.5619498055384865e-05,3.902848067697393e-06
23,TOI-1470b,7.093980720128389e-05,1.731046149846357e-05,7.246241581400981e-05,1.768200265155743e-05,7.440392800108476e-05,1.8155763058994095e-05,7.66793189577671e-05,1.8710995291834008e-05,7.922862474562667e-05,1.933306717826218e-05,8.200830902065816e-05,2.0011355145472023e-05,8.498595247090019e-05,2.0737948356464486e-05,8.813687030706453e-05,2.150682332299749e-05,9.14418913659992e-05,2.2313301970873834e-05,9.488586043828861e-05,2.3153686183627744e-05
24,V1298Taub,1.5011515249050173e-05,2.692653957299218e-06,1.574010227519361e-05,2.8233424791861823e-06,1.652740596958485e-05,2.9645631603184888e-06,1.736492205065613e-05,3.1147905659190657e-06,1.8246419159777408e-05,3.272906961222559e-06,1.916720283476723e-05,3.438070288517899e-06,2.0123648991649535e-05,3.609630486575568e-06,2.1112898584126375e-05,3.7870747209347846e-06,2.213265205277871e-05,3.969990513729921e-06,2.3181027465419418e-05,4.158040297962118e-06
25,TOI-2109b,2.789408672076194e-05,1.71480935223223e-05,2.975309776347357e-05,1.8290934137201486e-05,3.170121107896218e-05,1.9488551024984915e-05,3.372994180041052e-05,2.073572805183164e-05,3.583279981378837e-05,2.2028475372744227e-05,3.800468380378589e-05,2.3363656916880996e-05,4.0241487505813465e-05,2.473874832809741e-05,4.253983589954503e-05,2.615167478800022e-05,4.4896903623439446e-05,2.7600699384948372e-05,4.731028694275352e-05,2.908434440545399e-05
26,K2-138g,4.5029438283197806e-05,5.318586851239144e-06,4.7464902521958716e-05,5.606248180600435e-06,5.006417707228061e-05,5.913257727536334e-06,5.2805950407076525e-05,6.237098311907222e-06,5.567443748719083e-05,6.575905506687131e-06,5.8657619026824243e-05,6.9282596713508725e-06,6.174611773448629e-05,7.293053220702559e-06,6.493245808004524e-05,7.669403193333378e-06,6.821056498431549e-05,8.05659204006864e-06,7.157541587194344e-05,8.454026526698604e-06
27,K2-141c,2.5877956394974907e-05,5.791408071739191e-06,2.6970857277091347e-05,6.03599597094166e-06,2.8174475574575223e-05,6.305362091548259e-06,2.9471039095004492e-05,6.595529070854042e-06,3.0847662917547534e-05,6.903613302697496e-06,3.229474053914578e-05,7.227464880860932e-06,3.380493166627905e-05,7.565441069940797e-06,3.5372504205400656e-05,7.916259044804858e-06,3.6992894085414416e-05,8.27889738019901e-06,3.866240326277789e-05,8.652528465206289e-06
28,TRAPPIST-1b,0.00019067564696946952,4.1498887535777966e-05,0.0001854105643080605,4.035298832575786e-05,0.00018248579447917583,3.971643774299594e-05,0.00018128566600480046,3.9455240272956344e-05,0.00018139692129473224,3.947945401413421e-05,0.00018253280486895014,3.9726669143330825e-05,0.0001844885787440439,4.015232622842741e-05,0.00018711439366753265,4.072381188971416e-05,0.000190298162529111,4.14167313475813e-05,0.0001939544159986442,4.2212482949560926e-05
29,TRAPPIST-1e,0.0001533396600376194,2.0962339051158223e-05,0.00014910552737200586,2.038351081779446e-05,0.00014675345347910194,2.0061969930040215e-05,0.00014578832083008748,1.9930031214296227e-05,0.00014587779134510434,1.9942262304872565e-05,0.0001467912588165994,2.006713811876824e-05,0.00014836407477859456,2.02821503436051e-05,0.00015047573179452142,2.0570824978182713e-05,0.0001530360904068142,2.09208394839555e-05,0.0001559764169400676,2.1322797605527263e-05
30,TRAPPIST-1f,0.00014439488969661895,1.7102820798380076e-05,0.0001404077469113661,1.663056455235221e-05,0.00013819287666683289,1.6368224735731933e-05,0.0001372840431506841,1.6260578150766828e-05,0.00013736829457750864,1.6270557292397222e-05,0.00013822847670361756,1.6372441374221174e-05,0.00013970954551053715,1.6547866241735785e-05,0.00014169802312824574,1.6783391033705316e-05,0.00014410902820883028,1.7068961997635258e-05,0.0001468778365219373,1.739691288636566e-05
31,TRAPPIST-1g,0.00013862840686415802,1.4784893866965676e-05,0.00013480049263934828,1.4376642002677009e-05,0.0001326740743564327,1.4149856819604905e-05,0.00013180153556566825,1.4056799460669054e-05,0.00013188242236921965,1.4065426139953608e-05,0.00013270825268777212,1.4153501981609097e-05,0.00013413017426401936,1.430515170526613e-05,0.00013603924102397984,1.4508756075174425e-05,0.00013835396139923043,1.475562391311559e-05,0.00014101219595423942,1.5039127970172385e-05
32,GJ3473b,6.841003047163976e-05,2.0543969059516987e-05,6.906866289280302e-05,2.0741760582027454e-05,7.021407447621568e-05,2.1085734995835044e-05,7.173846357896315e-05,2.154351877908437e-05,7.356678824400016e-05,2.2092576352810253e-05,7.564522462229526e-05,2.2716744071396064e-05,7.7934152737341e-05,2.3404123802858866e-05,8.040373711257188e-05,2.4145755763038198e-05,8.303105351532466e-05,2.493475565845691e-05,8.579816870553306e-05,2.57657380225903e-05
33,TOI-2202b,7.259813432142116e-05,1.3221009627391477e-05,7.631146736372322e-05,1.3897253064786541e-05,8.029898703133773e-05,1.4623429245589426e-05,8.452285831040796e-05,1.5392647950276886e-05,8.895522254572006e-05,1.619983577645048e-05,9.35749907151783e-05,1.7041152154834357e-05,9.83658043762528e-05,1.7913618012643813e-05,0.0001033146971346153,1.8814872010626135e-05,0.00010841119107225847,1.974300599155188e-05,0.00011364667152373686,2.0696451119309e-05
34,TOI-833b,2.539503230715351e-05,1.3477890753012532e-05,2.6088409259795254e-05,1.384588630054053e-05,2.6918498838433257e-05,1.4286439260693515e-05,2.7858992538412305e-05,1.4785586936069518e-05,2.889120618049477e-05,1.5333413083069057e-05,3.0001484240417773e-05,1.592267031322795e-05,3.1179593368239954e-05,1.654792748667291e-05,3.241769349017949e-05,1.7205023645597347e-05,3.370965885044192e-05,1.7890707671184846e-05,3.505061803824099e-05,1.8602394162416955e-05
35,HD28109c,1.1352864300311936e-05,1.5907351524647688e-06,1.206588610296819e-05,1.69064199676026e-06,1.281641399833872e-05,1.795804101625593e-06,1.360047584110875e-05,1.905664899923545e-06,1.441506739820986e-05,2.019803445977174e-06,1.5257853346160944e-05,2.137892520059764e-06,1.6126974134269476e-05,2.259671566546221e-06,1.702091732057463e-05,2.384928665824938e-06,1.793842949586371e-05,2.513488193309702e-06,1.8878454517225677e-05,2.6452021648786073e-06
36,TOI-2641b,7.023582717411331e-05,1.4264872995321284e-05,7.463314313502574e-05,1.5157966395463284e-05,7.926293456716485e-05,1.6098275486015758e-05,8.410045228712631e-05,1.708077371611135e-05,8.912698799604316e-05,1.810166143651074e-05,9.432800666791737e-05,1.915798658829773e-05,9.969194054405193e-05,2.0247399763552e-05,0.0001052093859387311,2.1367991076851538e-05,0.00011087255356603117,2.2518178526831834e-05,0.00011667488316217784,2.3696629726115672e-05
37,TOI-1685b,3.5470986564623125e-05,2.1839737489166994e-05,3.592183867052137e-05,2.2117330321870336e-05,3.6613202328171866e-05,2.2543007819312605e-05,3.7492892351056606e-05,2.308463919279133e-05,3.8524462527152645e-05,2.3719784251600057e-05,3.968169202414124e-05,2.443229864369081e-05,4.094522413017763e-05,2.521026430457522e-05,4.230044254008749e-05,2.6044681871704204e-05,4.37360871261669e-05,2.6928618404752005e-05,4.524332669623066e-05,2.78566364761836e-05
38,K2-87b,6.261490974037083e-05,1.4732193765990302e-05,6.630091395146403e-05,1.559944612625474e-05,7.020231110571055e-05,1.6517376681018206e-05,7.429391850264478e-05,1.7480060381049636e-05,7.855688215180031e-05,1.8483061211956215e-05,8.297669228992782e-05,1.9522965280073094e-05,8.754190873100869e-05,2.0597080909602226e-05,9.224331622800962e-05,2.1703239913997318e-05,9.70733492225192e-05,2.2839662249608592e-05,0.00010202569041600078,2.4004861566515477e-05
39,WASP-178b,3.057496725239875e-05,1.057190592062838e-05,3.3012820301282347e-05,1.1414842328977025e-05,3.5542463921901904e-05,1.2289517161795027e-05,3.815820011128159e-05,1.3193960220687772e-05,4.0855437871000784e-05,1.4126584076207377e-05,4.363038522587312e-05,1.5086077577156434e-05,4.647984363391173e-05,1.6071334763725108e-05,4.940106654351784e-05,1.708140596081256e-05,5.2391659441028185e-05,1.8115463217469094e-05,5.54495075051733e-05,1.917277529197938e-05
40,HIP29442b,1.6302405927728684e-05,2.7809837413186626e-06,1.716941982559239e-05,2.9288853188002517e-06,1.80964128230864e-05,3.0870185701605475e-06,1.907543499614867e-05,3.2540273391573807e-06,2.010060896965022e-05,3.4289090201172213e-06,2.1167467762044728e-05,3.6109016026283444e-06,2.2272532663903643e-05,3.7994116629713034e-06,2.3413035480005873e-05,3.993966982141322e-06,2.4586730612346404e-05,4.194184489592299e-06,2.5791764756962924e-05,4.399748035167642e-06
41,HD152843c,1.0197528505476898e-05,1.8120103982875603e-06,1.0856422314631857e-05,1.9290899860440302e-06,1.1548450609359405e-05,2.0520572780973987e-06,1.2270271438696896e-05,2.180318439393257e-06,1.3019344216076903e-05,2.3134220302248705e-06,1.3793684036818248e-05,2.4510153506296977e-06,1.4591702547447641e-05,2.592816164278788e-06,1.5412101658768576e-05,2.738593812231524e-06,1.6253800604443087e-05,2.8881562518923458e-06,1.7115884662382946e-05,3.0413409452566232e-06
42,K2-26b,6.138760742129233e-05,1.2124083368700247e-05,6.28392178567913e-05,1.2410777160463182e-05,6.464099559407527e-05,1.2766629170605575e-05,6.672320436463363e-05,1.3177866450990805e-05,6.903653648350929e-05,1.3634750709017977e-05,7.154510590770502e-05,1.4130194433129826e-05,7.422212825459005e-05,1.4658907694273315e-05,7.704716358759957e-05,1.5216853594687271e-05,8.000430270293068e-05,1.58008900586118e-05,8.308094195440317e-05,1.6408527859581545e-05
43,TOI-1246d,4.7801728405020496e-05,6.9976490275042216e-06,5.025157892075353e-05,7.356280287313428e-06,5.2881726651126813e-05,7.74130508289605e-06,5.5667340761865523e-05,8.149088452314245e-06,5.859013425126503e-05,8.576953378983804e-06,6.163626117035599e-05,9.022872967757344e-06,6.479497936478036e-05,9.485274684994248e-06,6.805777253312635e-05,9.96291183752503e-06,7.141775751031776e-05,1.0454776805437004e-05,7.48692740969019e-05,1.0960040997578401e-05
44,WASP-62b,2.410751732719755e-05,7.530163084644625e-06,2.5647190636486737e-05,8.01109154188323e-06,2.726572192581301e-05,8.516651878138884e-06,2.8954993510801864e-05,9.044308474070111e-06,3.070884751728726e-05,9.592137871690944e-06,3.25224831198822e-05,1.0158640497336685e-05,3.43920665746022e-05,1.0742618852441387e-05,3.631447103521769e-05,1.1343096243232327e-05,3.828709818563673e-05,1.1959261066272606e-05,4.0307752974688655e-05,1.2590427680935286e-05
45,WASP-80b,3.486980172735465e-05,9.855952325361417e-06,3.60131481475423e-05,1.0179119285037643e-05,3.732872265901709e-05,1.055096652887742e-05,3.878525326099305e-05,1.0962655023287278e-05,4.036037404791987e-05,1.1407863043224425e-05,4.2037628391389167e-05,1.1881939121316106e-05,4.380460324028228e-05,1.238137470764298e-05,4.565172782873828e-05,1.2903464624447513e-05,4.7571477100054365e-05,1.3446081913833922e-05,4.955782963350432e-05,1.4007524620738832e-05
46,WASP-22b,5.606012630614522e-05,1.8097619135127535e-05,5.95133166045222e-05,1.921239583898047e-05,6.315390921444406e-05,2.0387670723676963e-05,6.69614237855781e-05,2.1616832216883928e-05,7.092042081682775e-05,2.289489605921963e-05,7.501893697502767e-05,2.421800018576416e-05,7.924747619948198e-05,2.558307902922251e-05,8.359833872419848e-05,2.6987646911421293e-05,8.806516250680453e-05,2.8429650005026032e-05,9.264260214346664e-05,2.9907362679199342e-05
47,WASP-60b,7.639221501578532e-05,2.2701463628738633e-05,8.101775924130344e-05,2.4076035945787218e-05,8.590141526667926e-05,2.552731130954556e-05,9.101421831031512e-05,2.704668226000196e-05,9.633439202486837e-05,2.8627677523125902e-05,0.0001018451082509472,3.0265296277193682e-05,0.00010753304469398085,3.195557953782991e-05,0.00011338742705435746,3.369532550795731e-05,0.00011939937527548086,3.548189530242513e-05,0.0001255614463998188,3.731307709860623e-05
48,TOI-1296b,4.2365291640582965e-05,1.2978979783884767e-05,4.47882176457065e-05,1.3721264480167206e-05,4.735964784341599e-05,1.4509044742247872e-05,5.006152807516799e-05,1.533678951983356e-05,5.2880394663338673e-05,1.6200374096843497e-05,5.580592657563277e-05,1.7096636534239343e-05,5.8830017588963554e-05,1.8023093419267595e-05,6.194616278082715e-05,1.8977751911695025e-05,6.514904154233196e-05,1.9958981996182006e-05,6.843422715998507e-05,2.096542751010794e-05
49,HAT-P-59b,6.10389469202053e-05,1.567335744050646e-05,6.458386066658451e-05,1.6583607420988582e-05,6.834059673704992e-05,1.754824836276337e-05,7.228392323046576e-05,1.8560801310584074e-05,7.639498498237346e-05,1.961642470431459e-05,8.065929844576948e-05,2.0711399511752587e-05,8.506546518357345e-05,2.184279888393297e-05,8.960432024192969e-05,2.3008269477540465e-05,9.426835270279212e-05,2.4205882666522656e-05,9.90513017037567e-05,2.5434030809540768e-05
50,XO-5b,5.6664101995613566e-05,1.6533359515054644e-05,5.97832588577458e-05,1.7443462030920402e-05,6.310613902625899e-05,1.8413006601762212e-05,6.660677198786807e-05,1.9434415593455297e-05,7.026588262294749e-05,2.0502064942946638e-05,7.406876452098235e-05,2.1611663637696463e-05,7.800392097089043e-05,2.2759857186044815e-05,8.206216872867342e-05,2.3943966115994582e-05,8.62360303960292e-05,2.5161808684431307e-05,9.05193122460756e-05,2.6411577695799518e-05
51,WASP-99b,1.8792200760413182e-05,4.839137663629113e-06,1.9977972514708984e-05,5.1444831008047335e-06,2.1225654752718732e-05,5.465770968424411e-06,2.252874158428344e-05,5.801325949237912e-06,2.3882308448162664e-05,6.14987993047445e-06,2.5282524200688854e-05,6.510446362881341e-06,2.672633581791574e-05,6.882239069078158e-06,2.8211258262751173e-05,7.264618132711222e-06,2.973523058246709e-05,7.657052842444677e-06,3.12965149525378e-05,8.059095694964653e-06
52,HATS-56b,3.8984742517973496e-05,1.3408046977371951e-05,4.15815693178707e-05,1.4301175249517586e-05,4.4302959060682e-05,1.5237144532847586e-05,4.713703842318912e-05,1.6211871227850806e-05,5.0074726413116225e-05,1.722223210315078e-05,5.3108885995653756e-05,1.8265772513883275e-05,5.623377285215378e-05,1.9340516812928154e-05,5.944466607465617e-05,2.0444841335445874e-05,6.273761397557872e-05,2.1577386975044545e-05,6.610925487273742e-05,2.2736997546259426e-05
53,WASP-70Ab,3.790825986923222e-05,1.2041634925433673e-05,4.0146681500930075e-05,1.2752674054928936e-05,4.251524913741243e-05,1.3505054324376937e-05,4.4998812238304595e-05,1.4293963134182117e-05,4.7586022807925424e-05,1.5115795770712163e-05,5.02681438062562e-05,1.596777689564775e-05,5.303828359021107e-05,1.684771736471365e-05,5.589088850219089e-05,1.775385304741323e-05,5.88213972145237e-05,1.8684735028845344e-05,6.182599946758903e-05,1.9639152972384698e-05
54,K2-417b,7.634659344290117e-05,1.4899615539204198e-05,7.831166735037338e-05,1.5283114584899734e-05,8.069804359277645e-05,1.5748833969881704e-05,8.342341667943164e-05,1.628071115471545e-05,8.642944553824885e-05,1.686736043762846e-05,8.967356858774466e-05,1.7500475603867123e-05,9.312394639440204e-05,1.8173842947004e-05,9.675622744120352e-05,1.888271008418879e-05,0.00010055141679342682,1.9623370010147364e-05,0.00010449443398728722,2.039287965823572e-05
