,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1425um,Full Phase Curve Noise Estimate 1.1425-1.185um,Full Phase Curve Noise Estimate 1.185-1.2275um,Full Phase Curve Noise Estimate 1.2275-1.27um,Full Phase Curve Noise Estimate 1.27-1.3125um,Full Phase Curve Noise Estimate 1.3125-1.355um,Full Phase Curve Noise Estimate 1.355-1.3975um,Full Phase Curve Noise Estimate 1.3975-1.44um,Full Phase Curve Noise Estimate 1.44-1.4825um,Full Phase Curve Noise Estimate 1.4825-1.525um,Full Phase Curve Noise Estimate 1.525-1.5675um,Full Phase Curve Noise Estimate 1.5675-1.61um,Full Phase Curve Noise Estimate 1.61-1.6525um,Full Phase Curve Noise Estimate 1.6525-1.695um,Full Phase Curve Noise Estimate 1.695-1.7375um,Full Phase Curve Noise Estimate 1.7375-1.78um,Full Phase Curve Noise Estimate 1.78-1.8225um,Full Phase Curve Noise Estimate 1.8225-1.865um,Full Phase Curve Noise Estimate 1.865-1.9075um,Full Phase Curve Noise Estimate 1.9075-1.95um
10,TOI-4463Ab,1.7809743556397553e-05,1.8313066250974066e-05,1.8833885537810893e-05,1.9370920405918798e-05,1.9923084236589382e-05,2.0489447604087837e-05,2.1069209348845623e-05,2.166167385669704e-05,2.2266233045663174e-05,2.2882351960480545e-05,2.350955715860125e-05,2.4147427275464807e-05,2.4795585305400012e-05,2.545369224379282e-05,2.612144181735264e-05,2.6798556090187028e-05,2.748478177945509e-05,2.8179887149490997e-05,2.888365938029394e-05,2.9595902327184268e-05
11,TOI-3785b,2.7868931554633005e-05,2.8061148598767827e-05,2.830650865182945e-05,2.8598358483246576e-05,2.893123489685078e-05,2.9300610977203384e-05,2.970270406046986e-05,3.013432873456435e-05,3.059278310649582e-05,3.107575993636531e-05,3.15812765617526e-05,3.2107619165301023e-05,3.265329809465432e-05,3.3217011774426e-05,3.3797617353039365e-05,3.439410666984981e-05,3.5005586455899686e-05,3.563126192686508e-05,3.6270423111713157e-05,3.692243340122528e-05
12,WASP-124b,4.036589093720873e-05,4.160172702029096e-05,4.28749944784821e-05,4.418323656013838e-05,4.55243573943873e-05,4.689655410569641e-05,4.829826383439777e-05,4.972812197962712e-05,5.1184928983818565e-05,5.266762368438702e-05,5.4175261762429795e-05,5.570699818239647e-05,5.72620727825887e-05,5.883979837254339e-05,6.043955083955412e-05,6.206076087649961e-05,6.370290702653494e-05,6.536550980393908e-05,6.704812669954647e-05,6.87503479173073e-05
13,WASP-25b,2.4287469087250366e-05,2.4990104884657847e-05,2.5716197200823585e-05,2.6464078720303757e-05,2.7232332962775518e-05,2.801974650572337e-05,2.8825271794811042e-05,2.964799790506839e-05,3.04871273388107e-05,3.13419574541191e-05,3.221186547926803e-05,3.309629632896443e-05,3.399475262805214e-05,3.490678648805962e-05,3.5831992685872105e-05,3.677000297177199e-05,3.772048129312165e-05,3.868311976500519e-05,3.965763525380332e-05,4.064376646651942e-05
14,LHS1140c,1.9969015853565142e-05,1.9865412114518516e-05,1.9816950110713932e-05,1.9815756529295192e-05,1.9855450582352217e-05,1.993081052154933e-05,2.0037524671493705e-05,2.017200325948755e-05,2.0331234569798995e-05,2.051267381806293e-05,2.071415645999462e-05,2.0933829943827643e-05,2.1170099524677046e-05,2.1421584900786293e-05,2.1687085251419487e-05,2.196555085123235e-05,2.2256059872357006e-05,2.2557799308555973e-05,2.287004919723611e-05,2.319216949705166e-05
15,TOI-1199b,1.6064930354908297e-05,1.652583466962268e-05,1.700234867143604e-05,1.749335082770702e-05,1.7997888864416763e-05,1.8515147472519248e-05,1.9044423179787835e-05,1.9585104601656878e-05,2.0136656774727097e-05,2.0698608620921517e-05,2.127054283529467e-05,2.1852087666956563e-05,2.2442910191101772e-05,2.304271076473012e-05,2.3651218428968697e-05,2.426818707365714e-05,2.4893392219789037e-05,2.5526628305863594e-05,2.616770638763429e-05,2.6816452178886354e-05
16,TOI-1273b,1.4159388379285988e-05,1.4563904098021498e-05,1.4982220584529266e-05,1.5413340928622156e-05,1.5856418907855167e-05,1.6310730212761295e-05,1.6775650060860438e-05,1.7250635605725674e-05,1.7735211984879458e-05,1.8228961157546096e-05,1.8731512901888425e-05,1.924253749876503e-05,1.9761739743679333e-05,2.0288854012948375e-05,2.082364017282186e-05,2.1365880167310532e-05,2.1915375156076868e-05,2.24719431008905e-05,2.3035416720032558e-05,2.3605641746201754e-05
17,TOI-5803b,9.998110373117763e-06,1.0245727762199055e-05,1.0504160379711047e-05,1.0772500000787618e-05,1.1049981737655041e-05,1.1335955993944517e-05,1.1629866764415616e-05,1.1931234671149683e-05,1.2239643575495136e-05,1.2554729918018863e-05,1.2876174160169437e-05,1.3203693859994043e-05,1.353703802921024e-05,1.3875982503135705e-05,1.4220326117286338e-05,1.4569887530988372e-05,1.4924502573425972e-05,1.528402201419779e-05,1.564830968087694e-05,1.6017240861825635e-05
18,TOI-3819b,3.507717985058862e-05,3.61142362897424e-05,3.7184641048094106e-05,3.828609178273445e-05,3.9416629547143715e-05,4.057457368158974e-05,4.1758471083140875e-05,4.296705628438386e-05,4.4199219746218477e-05,4.545398245683456e-05,4.67304754182939e-05,4.802792295497812e-05,4.934562903546789e-05,5.0682965989001626e-05,5.203936513875292e-05,5.341430898010716e-05,5.48073246123932e-05,5.621797819381761e-05,5.764587023654254e-05,5.909063159542362e-05
19,TOI-4791b,1.894740219426006e-05,1.9528296200655376e-05,2.0126743043891437e-05,2.07415930909878e-05,2.1371865474011217e-05,2.2016716354062204e-05,2.2675414152038445e-05,2.3347320024899188e-05,2.4031872334612352e-05,2.4728574187065324e-05,2.543698335381588e-05,2.6156704059710545e-05,2.6887380243664814e-05,2.7628689991589835e-05,2.8380340908780683e-05,2.9142066250455293e-05,2.991362166810931e-05,3.069478245914665e-05,3.1485341230213174e-05,3.228510590248067e-05
20,TOI-4377b,1.345800441688165e-05,1.3774197394111562e-05,1.4105503596361236e-05,1.445059766987715e-05,1.4808366017841769e-05,1.5177865060329424e-05,1.5558288994031792e-05,1.5948944630476282e-05,1.634923156916617e-05,1.6758626434391608e-05,1.7176670238070054e-05,1.760295816955409e-05,1.8037131285960148e-05,1.847886970281424e-05,1.8927886978090903e-05,1.9383925452295273e-05,1.9846752359609308e-05,2.031615656486778e-05,2.0791945811545153e-05,2.1273944389376347e-05
21,Wolf327b,2.7605625110773902e-05,2.7779928570529356e-05,2.8007859704955325e-05,2.8282651439338157e-05,2.859875082367283e-05,2.8951559521723015e-05,2.933723755705119e-05,2.975255317404224e-05,3.0194766745854402e-05,3.066154011606282e-05,3.1150865147898544e-05,3.1661006926999936e-05,3.2190458249675526e-05,3.273790288005565e-05,3.3302185677460366e-05,3.3882288148495473e-05,3.447730831401539e-05,3.508644403192835e-05,3.570897910593301e-05,3.634427165400773e-05
22,HD118203b,3.3152307331670946e-06,3.4134907136378007e-06,3.514896855171494e-06,3.619232700259397e-06,3.7263140429062187e-06,3.83598281690258e-06,3.948102333346239e-06,4.062553532465134e-06,4.179232006341504e-06,4.298045613539033e-06,4.41891255252888e-06,4.541759793907232e-06,4.666521795535001e-06,4.793139442516929e-06,4.921559167175707e-06,5.051732214117902e-06,5.183614023021876e-06,5.317163707530196e-06,5.4523436130586215e-06,5.589118939766891e-06
23,TOI-1470b,2.43709387684501e-05,2.4591936290648683e-05,2.485628229866832e-05,2.5158716737109284e-05,2.549490937811238e-05,2.5861263341390857e-05,2.625476603158421e-05,2.667287475823571e-05,2.711342804228321e-05,2.757457616754872e-05,2.8054726306712543e-05,2.855249879562327e-05,2.906669201515408e-05,2.9596253977133814e-05,3.014025917471108e-05,3.069788959853759e-05,3.126841907334279e-05,3.1851200259133234e-05,3.244565380456447e-05,3.30512592491867e-05
24,V1298Taub,3.764593646312252e-06,3.852917889024038e-06,3.9454739012425e-06,4.04189017681219e-06,4.141854584806124e-06,4.245102663703465e-06,4.351408580140436e-06,4.460578073004751e-06,4.5724428937804664e-06,4.686856386557507e-06,4.803689944708615e-06,4.922830148162876e-06,5.044176433625296e-06,5.167639185502698e-06,5.293138161460171e-06,5.420601186046211e-06,5.549963060513117e-06,5.681164648105977e-06,5.814152102623634e-06,5.948876214629117e-06
25,TOI-2109b,2.3866873436757458e-05,2.4654430942136303e-05,2.5463024484626305e-05,2.6291436879016646e-05,2.713862272180266e-05,2.800367671510427e-05,2.8885808848453e-05,2.9784324763426466e-05,3.0698610077366924e-05,3.162811776163089e-05,3.2572357898475165e-05,3.353088930639943e-05,3.450331264519416e-05,3.5489264701818975e-05,3.6488413625419594e-05,3.750045493044555e-05,3.852510812537028e-05,3.95621138540507e-05,4.06112314595936e-05,4.1672236898349506e-05
26,K2-138g,7.4255412057110754e-06,7.6215225876518855e-06,7.825173991952182e-06,8.035889038378243e-06,8.253155419357987e-06,8.476536675723865e-06,8.705658063599596e-06,8.940195482129757e-06,9.17986671700925e-06,9.424424454439203e-06,9.673650661744267e-06,9.927352032549045e-06,1.018535626823703e-05,1.0447509021595482e-05,1.0713671368717217e-05,1.0983717705283547e-05,1.1257533986044326e-05,1.1535016243580998e-05,1.1816069335692112e-05,1.2100605880982191e-05
27,K2-141c,8.109899460724157e-06,8.273115131149787e-06,8.446430882843908e-06,8.628867445206764e-06,8.819606595072903e-06,9.017958827693907e-06,9.22333849621209e-06,9.435244490798116e-06,9.653245075015371e-06,9.8769658759317e-06,1.0106080290940713e-05,1.0340301763975032e-05,1.057937752049524e-05,1.0823083450226041e-05,1.1071219899922323e-05,1.1323608192935436e-05,1.1580087733225618e-05,1.1840513582388335e-05,1.2104754421851851e-05,1.237269083053147e-05
28,TRAPPIST-1b,5.921153154031155e-05,5.817867827695375e-05,5.737518722770866e-05,5.6765189431797494e-05,5.6319971986135744e-05,5.6016309093081425e-05,5.5835232425583645e-05,5.576111321769882e-05,5.5780968721188746e-05,5.5883932292909444e-05,5.606084428503198e-05,5.6303933137672695e-05,5.6606564540692785e-05,5.696304247179356e-05,5.736845013688101e-05,5.78185218693032e-05,5.830953924513374e-05,5.8838246285672264e-05,5.9401779813426624e-05,5.99976119206754e-05
29,TRAPPIST-1e,2.990952947392282e-05,2.9387804155914355e-05,2.8981936606228222e-05,2.86738083315287e-05,2.844891557893609e-05,2.8295526297934947e-05,2.820405901474405e-05,2.816661916856635e-05,2.8176648781910285e-05,2.822865878575598e-05,2.8318022365873417e-05,2.8440813873096804e-05,2.8593682117388058e-05,2.8773749866181265e-05,2.8978533498565982e-05,2.920587829773059e-05,2.9453905975660416e-05,2.9720971839364537e-05,3.0005629611583076e-05,3.030660236992381e-05
30,TRAPPIST-1f,2.4402683379367696e-05,2.3977016444103445e-05,2.3645875918553365e-05,2.3394479227934107e-05,2.321099300356482e-05,2.308584526222963e-05,2.301121864019519e-05,2.2980672097734763e-05,2.2988855091019995e-05,2.3031289180714138e-05,2.3104199426699585e-05,2.3204382957672884e-05,2.3329105593896626e-05,2.3476019849584507e-05,2.364309938009728e-05,2.3828586188132725e-05,2.403094781000706e-05,2.424884236829796e-05,2.4481089869649715e-05,2.4726648494502283e-05
31,TRAPPIST-1g,2.109541391366807e-05,2.072743716090021e-05,2.0441175755075684e-05,2.022385058789249e-05,2.006523205441601e-05,1.9957045452033642e-05,1.9892532895921616e-05,1.986612629354858e-05,1.987320025454381e-05,1.990988329764327e-05,1.9972912096308533e-05,2.0059517860943474e-05,2.0167336972253515e-05,2.0294340096679357e-05,2.0438775517894074e-05,2.059912349808141e-05,2.077405926671453e-05,2.0962422809576738e-05,2.116319405654431e-05,2.1375472384743075e-05
32,GJ3473b,2.9014117559999598e-05,2.9093163070564255e-05,2.9235311593827113e-05,2.943223816593231e-05,2.9677138919975886e-05,2.9964401249586786e-05,3.0289355390637652e-05,3.0648085105873814e-05,3.103728183120135e-05,3.145413116624091e-05,3.1896223704273815e-05,3.2361484368042065e-05,3.284811595228435e-05,3.335455367133048e-05,3.3879428303884775e-05,3.442153610737927e-05,3.497981410266672e-05,3.5553319649035705e-05,3.614121346950775e-05,3.674274546827079e-05
33,TOI-2202b,1.8472102568110952e-05,1.893100439395406e-05,1.9409843716441703e-05,1.9906950790635557e-05,2.042091918999442e-05,2.0950554308284946e-05,2.1494833508862233e-05,2.205287496894878e-05,2.2623913088784073e-05,2.3207278909715256e-05,2.380238439163171e-05,2.4408709691251283e-05,2.5025792793741654e-05,2.5653221004704412e-05,2.6290623923917184e-05,2.693766760765488e-05,2.7594049690804572e-05,2.825949528892178e-05,2.8933753537871335e-05,2.9616594657629506e-05
34,TOI-833b,1.8946216366442654e-05,1.917711304224808e-05,1.9438475020138796e-05,1.9726788877914355e-05,2.0039151196043223e-05,2.0373141387593036e-05,2.0726724862260558e-05,2.1098178462866477e-05,2.1486032456786286e-05,2.188902497306419e-05,2.2306065895206195e-05,2.2736208008936932e-05,2.3178623767719786e-05,2.3632586445809503e-05,2.4097454745716895e-05,2.457266014606093e-05,2.505769643890547e-05,2.5552111028201642e-05,2.605549765377982e-05,2.6567490276206082e-05
35,HD28109c,2.2160945668776843e-06,2.284754785398598e-06,2.3554528932005645e-06,2.4280575698784094e-06,2.5024566767102843e-06,2.5785536587431405e-06,2.656264735250196e-06,2.735516684078109e-06,2.816245078258695e-06,2.8983928705254944e-06,2.9819092479854644e-06,3.066748698423337e-06,3.152870243764822e-06,3.240236806594973e-06,3.3288146833594353e-06,3.418573103691294e-06,3.509483859719661e-06,3.6015209925910254e-06,3.694660526036979e-06,3.7888802388417372e-06
36,TOI-2641b,1.987373605327498e-05,2.0487411827854075e-05,2.111940614574798e-05,2.176853237470291e-05,2.2433777491065954e-05,2.3114269489240235e-05,2.3809251936578684e-05,2.4518063910145854e-05,2.524012403129854e-05,2.597491765205175e-05,2.6721986488523946e-05,2.7480920171101714e-05,2.8251349308334293e-05,2.903293975557494e-05,2.9825387849463087e-05,3.062841642204135e-05,3.144177144829478e-05,3.226521921147825e-05,3.309854389417666e-05,3.394154552133944e-05
37,TOI-1685b,3.08187863119472e-05,3.09537619900202e-05,3.115238423687306e-05,3.1406420123280854e-05,3.17091286296362e-05,3.2054939255267355e-05,3.243920950600236e-05,3.285803975267821e-05,3.330813035524028e-05,3.378667029554578e-05,3.429124955967142e-05,3.481978960561388e-05,3.537048773540363e-05,3.5941772253172075e-05,3.6532266060475594e-05,3.714075690369981e-05,3.776617290500226e-05,3.840756231912848e-05,3.906407669245539e-05,3.9734956778213626e-05
38,K2-87b,2.0543832721644724e-05,2.113779829333148e-05,2.1751613746016044e-05,2.2383866992333072e-05,2.3033358433142946e-05,2.369906047915127e-05,2.4380086043583388e-05,2.5075663771486248e-05,2.578511838374903e-05,2.6507854944346548e-05,2.724334616569036e-05,2.799112208769538e-05,2.875076162698749e-05,2.9521885611070813e-05,3.0304151000312226e-05,3.1097246066657695e-05,3.1900886348010764e-05,3.271481123536587e-05,3.35387810791531e-05,3.4372574723993984e-05
39,WASP-178b,1.4667323969454477e-05,1.5251656123327968e-05,1.5847816890535507e-05,1.6455369345882845e-05,1.7073927843419864e-05,1.7703149339335914e-05,1.8342726494660818e-05,1.8992382140631998e-05,1.9651864798111925e-05,2.0320945020179022e-05,2.0999412383374004e-05,2.168707299439584e-05,2.23837474096506e-05,2.3089268887946887e-05,2.380348191392143e-05,2.4526240942937394e-05,2.525740932830998e-05,2.599685839952999e-05,2.6744466666256487e-05,2.7500119127631145e-05
40,HIP29442b,3.883546306120747e-06,3.984194679114689e-06,4.088908158555582e-06,4.197359437131297e-06,4.30927225021307e-06,4.424411458107473e-06,4.542575359915785e-06,4.663589675863418e-06,4.787302791162128e-06,4.913581963722823e-06,5.042310275469221e-06,5.173384162556633e-06,5.3067114001177065e-06,5.442209446728563e-06,5.579804075700076e-06,5.7194282366844e-06,5.861021103452427e-06,6.004527273104189e-06,6.149896089189837e-06,6.297081066791905e-06
41,HD152843c,2.523233559351719e-06,2.6038047890497457e-06,2.686648708044561e-06,2.771625906475913e-06,2.858617025900501e-06,2.9475190272841175e-06,3.038242272238979e-06,3.1307082178090223e-06,3.2248475791592777e-06,3.3205988526935642e-06,3.4179071194194944e-06,3.516723068129404e-06,3.6170021924153313e-06,3.7187041262157228e-06,3.8217920905633035e-06,3.926232430206188e-06,4.0319942233353476e-06,4.13904895114286e-06,4.247370216630685e-06,4.356933504183436e-06
42,K2-26b,1.705940936895785e-05,1.72340103141063e-05,1.7437833561590313e-05,1.766739691477853e-05,1.7919829700251275e-05,1.819274419000891e-05,1.8484137920135766e-05,1.8792318640345425e-05,1.9115846046801918e-05,1.945348610532427e-05,1.9804174920867727e-05,2.0166989917443488e-05,2.054112666845437e-05,2.092588013242371e-05,2.132062935147438e-05,2.1724824892482724e-05,2.2137978476243885e-05,2.255965436401946e-05,2.298946216465279e-05,2.3427050796954518e-05
43,TOI-1246d,9.776712241522602e-06,1.0020116713873533e-05,1.0274057198639902e-05,1.0537652989825896e-05,1.0810162193780328e-05,1.109095458981904e-05,1.1379490627436203e-05,1.1675305004947179e-05,1.1977993707434676e-05,1.2287203684291473e-05,1.2602624560678471e-05,1.2923981930559752e-05,1.3251031890117968e-05,1.3583556551772034e-05,1.3921360339275417e-05,1.4264266909383519e-05,1.4612116579509242e-05,1.4964764166571156e-05,1.5322077161998054e-05,1.5683934183101662e-05
44,WASP-62b,1.0487718378583196e-05,1.0818501256076718e-05,1.1158810181173591e-05,1.1508048626958846e-05,1.1865706426878136e-05,1.223134364876817e-05,1.2604577991034244e-05,1.2985074834432474e-05,1.3372539317865305e-05,1.3766709972395342e-05,1.4167353566174446e-05,1.4574260898672093e-05,1.498724334524437e-05,1.540612999937013e-05,1.5830765294413076e-05,1.6261007012758683e-05,1.669672460991355e-05,1.7137797796258003e-05,1.7584115330796955e-05,1.803557399030368e-05
45,WASP-80b,1.3835076554085593e-05,1.404411737776536e-05,1.427339150367602e-05,1.4520691377920714e-05,1.478418577879989e-05,1.50623423941418e-05,1.5353868657737473e-05,1.56576660415189e-05,1.5972794383868353e-05,1.6298443787540833e-05,1.6633912286419048e-05,1.6978587951434296e-05,1.7331934443454608e-05,1.769347926542496e-05,1.8062804145065505e-05,1.843953711182225e-05,1.8823345930599337e-05,1.9213932629230036e-05,1.9611028913169814e-05,2.001439230415484e-05
46,WASP-22b,2.5219791938190807e-05,2.5985162916720915e-05,2.677406613474844e-05,2.7584936603007355e-05,2.8416440142707058e-05,2.926742987808884e-05,3.01369122964759e-05,3.1024020508526395e-05,3.192799298651433e-05,3.284815651281714e-05,3.3783912394912184e-05,3.473472523716754e-05,3.5700113730524415e-05,3.667964304715123e-05,3.767291852099933e-05,3.867958036572447e-05,3.9699299234932155e-05,4.073177247058277e-05,4.1776720916894216e-05,4.283388620151234e-05
47,WASP-60b,3.1643654087329304e-05,3.258654089542286e-05,3.355934293362186e-05,3.456001729741367e-05,3.5586824792066955e-05,3.663827244606082e-05,3.771306870455655e-05,3.881008815742313e-05,3.9928343515477675e-05,4.106696315316703e-05,4.2225172966836115e-05,4.3402281608561064e-05,4.4597668382267854e-05,4.581077325597257e-05,4.7041088568384586e-05,4.8288152101552906e-05,4.9551541262054965e-05,5.08308681673136e-05,5.2125775475282784e-05,5.343593282803341e-05
48,TOI-1296b,1.8106551064329784e-05,1.8614067842695463e-05,1.9139480319774013e-05,1.9681465123143644e-05,2.023890028364656e-05,2.0810826633578234e-05,2.1396417799550446e-05,2.1994956640888294e-05,2.2605816575651922e-05,2.3228446651254257e-05,2.3862359511585062e-05,2.4507121624769657e-05,2.516234529012977e-05,2.582768205648487e-05,2.650281726829504e-05,2.7187465519381458e-05,2.7881366841792352e-05,2.8584283493844864e-05,2.9295997239403912e-05,3.001630703215073e-05
49,HAT-P-59b,2.1860573435334103e-05,2.2483500295549185e-05,2.312777405998168e-05,2.3791847730693595e-05,2.4474408366443057e-05,2.5174332365363713e-05,2.5890650679900397e-05,2.6622521485531095e-05,2.7369208505366196e-05,2.8130063670628476e-05,2.8904513136999908e-05,2.9692045921608238e-05,3.049220460367747e-05,3.13045776630251e-05,3.2128793128070654e-05,3.296451327812776e-05,3.3811430200079816e-05,3.4669262041737074e-05,3.55377498366274e-05,3.641665480009983e-05
50,XO-5b,2.307749538594236e-05,2.369826331297581e-05,2.434253902261797e-05,2.5008500817940563e-05,2.5694608006992513e-05,2.6399546640549662e-05,2.7122187400661286e-05,2.7861552586607385e-05,2.8616789988612228e-05,2.938715203069506e-05,3.017197898351561e-05,3.0970685349428525e-05,3.178274874094409e-05,3.26077007346027e-05,3.344511930156173e-05,3.4294622505496654e-05,3.5155863225884224e-05,3.6028524716106964e-05,3.691231684526355e-05,3.780697290306376e-05
51,WASP-99b,6.7410397878987646e-06,6.950934220097927e-06,7.167006206506226e-06,7.3888607762892055e-06,7.616160511470175e-06,7.84861476497894e-06,8.085971239145435e-06,8.328009342773714e-06,8.57453490296925e-06,8.825375919340422e-06,9.080379127795228e-06,9.339407198682758e-06,9.60233643607214e-06,9.869054876002434e-06,1.0139460704683818e-05,1.0413460935042932e-05,1.069097029322344e-05,1.0971910276762132e-05,1.1256208353958298e-05,1.1543797280006266e-05
52,HATS-56b,1.8661598186569997e-05,1.9277059807006666e-05,1.9908975299568757e-05,2.0556391656618762e-05,2.1218490413451296e-05,2.1894562834936027e-05,2.2583990474848095e-05,2.328622979549805e-05,2.4000799888864875e-05,2.4727272590550368e-05,2.5465264457032974e-05,2.6214430206535814e-05,2.6974457318961447e-05,2.7745061560759992e-05,2.8525983253231638e-05,2.9316984142448035e-05,3.0117844759169188e-05,3.0928362180270515e-05,3.174834812107902e-05,3.257762730192537e-05
