,Planet Name,Noise Estimate 1.1-1.1425um,Noise Estimate 1.1425-1.185um,Noise Estimate 1.185-1.2275um,Noise Estimate 1.2275-1.27um,Noise Estimate 1.27-1.3125um,Noise Estimate 1.3125-1.355um,Noise Estimate 1.355-1.3975um,Noise Estimate 1.3975-1.44um,Noise Estimate 1.44-1.4825um,Noise Estimate 1.4825-1.525um,Noise Estimate 1.525-1.5675um,Noise Estimate 1.5675-1.61um,Noise Estimate 1.61-1.6525um,Noise Estimate 1.6525-1.695um,Noise Estimate 1.695-1.7375um,Noise Estimate 1.7375-1.78um,Noise Estimate 1.78-1.8225um,Noise Estimate 1.8225-1.865um,Noise Estimate 1.865-1.9075um,Noise Estimate 1.9075-1.95um
15,TOI-1199b,5.0767849848309405e-05,5.222438408324985e-05,5.373024752369025e-05,5.528189594008972e-05,5.687631998828456e-05,5.8510943156188254e-05,6.0183542354650376e-05,6.189218550683384e-05,6.363518203948811e-05,6.541104326759869e-05,6.721845043818352e-05,6.905622875664669e-05,7.092332612527232e-05,7.281879562238035e-05,7.474178097290015e-05,7.669150442782246e-05,7.866725659617947e-05,8.066838786946519e-05,8.269430115245888e-05,8.474444567175613e-05
16,TOI-1273b,4.97315865298748e-05,5.115235471068263e-05,5.262159490583598e-05,5.413580569818986e-05,5.5692014926544946e-05,5.7287678620924004e-05,5.892060237694041e-05,6.058887957169989e-05,6.229084236025326e-05,6.402502247077604e-05,6.579011958443826e-05,6.758497563878888e-05,6.940855379610776e-05,7.125992111446132e-05,7.313823417942641e-05,7.504272711962443e-05,7.697270155422241e-05,7.892751811591416e-05,8.090658926623723e-05,8.290937317686994e-05
17,TOI-5803b,3.764405627806337e-05,3.85763647425774e-05,3.954939380853628e-05,4.055972390297098e-05,4.16044751338493e-05,4.268120169477857e-05,4.378781016092345e-05,4.49224956182877e-05,4.608369125612059e-05,4.727002823058565e-05,4.848030344162058e-05,4.971345346220065e-05,5.0968533292053106e-05,5.2244698924900584e-05,5.35411929529052e-05,5.485733260719623e-05,5.6192499765428565e-05,5.754613255766708e-05,5.8917718278779484e-05,6.030678737484652e-05
18,TOI-3819b,0.00011279108073152365,0.00011612574780139579,0.00011956764678041615,0.0001231093744581197,0.00012674463181913532,0.00013046801468250156,0.00013427485057880163,0.00013816107038281574,0.00014212310635863237,0.0001461578104823628,0.00015026238848100617,0.00015443434616056894,0.00015867144542390795,0.00016297166798837225,0.00016733318526699695,0.0001717543332176608,0.0001762335912227428,0.00018076956425889848,0.00018536096776832812,0.00019000661476051663
19,TOI-4791b,6.361379036887945e-05,6.556407722987007e-05,6.75732957835391e-05,6.963758626533044e-05,7.175365552051794e-05,7.391867045407849e-05,7.613017487074183e-05,7.838602392622506e-05,8.068433198345402e-05,8.30234307758457e-05,8.540183557071064e-05,8.781821759709708e-05,9.027138141961206e-05,9.276024624759335e-05,9.528383039841903e-05,9.784123830622346e-05,0.00010043164959814635,0.00010305430986027408,0.00010570852279254295,0.00010839364351170268
20,TOI-4377b,4.606539713903492e-05,4.714769393560891e-05,4.8281721783163525e-05,4.9462944128944365e-05,5.0687549242916025e-05,5.195230734578422e-05,5.3254460253774866e-05,5.459163525238344e-05,5.596177723102539e-05,5.736309472722377e-05,5.879401667088164e-05,6.02531574358198e-05,6.173928839660692e-05,6.325131462082384e-05,6.478825564619316e-05,6.63492295301482e-05,6.793343953867725e-05,6.954016297732024e-05,7.116874177130416e-05,7.281857448204336e-05
21,Wolf327b,4.2799360531114465e-05,4.3069598085452e-05,4.342297920829988e-05,4.384901232523267e-05,4.433908822315258e-05,4.488607770829449e-05,4.548402733691929e-05,4.612792664202377e-05,4.68135281459127e-05,4.753720680479866e-05,4.8295849232579174e-05,4.908676564320678e-05,4.990761928995228e-05,5.0756369499825885e-05,5.163122535948201e-05,5.253060781154364e-05,5.345311844063391e-05,5.439751361729524e-05,5.536268296117621e-05,5.634763130770608e-05
22,HD118203b,1.3267808300927823e-05,1.3661052297943015e-05,1.4066887473439374e-05,1.4484447547823446e-05,1.4912995314538537e-05,1.535189818046107e-05,1.5800609106094316e-05,1.6258651605076028e-05,1.6725607828891433e-05,1.7201109020427682e-05,1.768482780367667e-05,1.8176471909349126e-05,1.8675779032764916e-05,1.91825125915679e-05,1.969645820379468e-05,2.0217420746611955e-05,2.0745221886186313e-05,2.1279697992171566e-05,2.1820698368026336e-05,2.2368083742114148e-05
23,TOI-1470b,9.987426953935312e-05,0.00010077993699473093,0.00010186325039137297,0.0001031026535555194,0.00010448040082917625,0.0001059817518777724,0.00010759436081820882,0.00010930780747937753,0.00011111323392829086,0.00011300305986392362,0.00011497075773858598,0.00011701067356616598,0.00011911788300486063,0.00012128807491380024,0.00012351745648378628,0.0001258026754399264,0.0001281407558515274,0.0001305290448618567,0.00013296516823769824,0.00013544699308594746
24,V1298Taub,2.0987566848276564e-05,2.147997349887294e-05,2.1995972216436455e-05,2.2533491858367253e-05,2.3090792298290232e-05,2.3666399166228496e-05,2.4259053443742293e-05,2.4867672127335594e-05,2.549131723344171e-05,2.6129171157026577e-05,2.678051691760299e-05,2.744472219956297e-05,2.8121226363678365e-05,2.880952980403439e-05,2.950918517052471e-05,3.0219790085826407e-05,3.094098106766109e-05,3.1672428429291356e-05,3.241383197875694e-05,3.3164917374005255e-05
25,TOI-2109b,3.882324507571282e-05,4.010433193962732e-05,4.141963724553223e-05,4.27671810491392e-05,4.4145262836278565e-05,4.555240999674196e-05,4.698733745353297e-05,4.844891572283904e-05,4.9936145414079985e-05,5.14481366986343e-05,5.2984092647794025e-05,5.454329561005968e-05,5.6125095995410035e-05,5.7728902980379265e-05,5.9354176757058386e-05,6.10004220315339e-05,6.26671825399677e-05,6.435403639856625e-05,6.606059214082399e-05,6.778648532430421e-05
26,K2-138g,6.286781786105586e-05,6.452708032862345e-05,6.625128049639738e-05,6.80352844891446e-05,6.987475489114841e-05,7.176599645182856e-05,7.370583642874032e-05,7.569153084498246e-05,7.772069035316075e-05,7.979122108854113e-05,8.190127709294466e-05,8.404922175165692e-05,8.623359631066389e-05,8.845309400023806e-05,9.07065386309743e-05,9.299286678281864e-05,9.531111289975093e-05,9.766039674899725e-05,0.00010003991281585827,0.00010244892129194791
27,K2-141c,3.623775462073869e-05,3.696705705460824e-05,3.774149004384773e-05,3.855667787851491e-05,3.940896446269413e-05,4.029526885758903e-05,4.121297419634128e-05,4.215984135192823e-05,4.3133941180945986e-05,4.413360085939497e-05,4.515736101713548e-05,4.620394122541438e-05,4.727221200269146e-05,4.836117194898595e-05,4.946992894654213e-05,5.059768460808268e-05,5.174372133656335e-05,5.290739149851297e-05,5.408810831844774e-05,5.528533818285188e-05
28,TRAPPIST-1b,0.00027206023474167333,0.0002673145662211501,0.0002636227521811496,0.00026081998489527875,0.0002587743366975901,0.00025737909161918085,0.0002565470955639505,0.00025620653877422644,0.000256297769195056,0.0002567708576756859,0.00025758371822587626,0.000258700642726765,0.0002600911484003058,0.0002617290636356089,0.00026359179715491795,0.0002656597494268502,0.0002679158353455154,0.0002703450946099976,0.00027293437172979784,0.0002756720516841555
29,TRAPPIST-1e,0.0002187884219515607,0.00021497199752005066,0.00021200307349218868,0.00020974911295967868,0.00020810402086650552,0.00020698197717926585,0.0002063128933487435,0.0002060390206062629,0.0002061123872995844,0.00020649284084958138,0.00020714653607708017,0.00020804475683036485,0.00020916298913034638,0.0002104801860002331,0.00021197817973530754,0.0002136412085666867,0.00021545553280411374,0.00021740912150660066,0.00021949139514565075,0.000221693013024835
30,TRAPPIST-1f,0.00020602582558773352,0.0002024320248405023,0.00019963628721192273,0.0001975138070760436,0.00019596467822525414,0.00019490808677061019,0.00019427803264187164,0.0001940201357322809,0.00019408922272247617,0.00019444748325581128,0.00019506304644570445,0.00019590887124120704,0.00019696187363844344,0.00019820223439501067,0.0001996128455838527,0.0002011788648681682,0.00020288735403576453,0.00020472698394715833,0.0002066877922100373,0.00020876098299930164
31,TRAPPIST-1g,0.00019779808020982303,0.00019434779971012783,0.0001916637112754577,0.00018962599345555457,0.00018813872984765645,0.00018712433390628123,0.00018651944130732066,0.0001862718436410399,0.00018633817160739613,0.00018668212482542829,0.00018727310518850345,0.00018808515154369708,0.00018909610175848465,0.00019028692808191624,0.00019164120580064155,0.000193144685314074,0.0001947849451040581,0.00019655110846601636,0.00019843361086080405,0.00020042400772903816
32,GJ3473b,9.661505333448828e-05,9.687826954994834e-05,9.735161453891997e-05,9.800736673360853e-05,9.882286971641152e-05,9.97794338869038e-05,0.00010086150924570002,0.00010205605498704595,0.00010335205381580126,0.00010474013396864437,0.00010621227228381114,0.00010776155889407779,0.00010938200922721608,0.00011106841265255046,0.00011281620975557406,0.00011462139215477516,0.0001164804202013331,0.00011839015496529691,0.00012034780171097046,0.0001223508626699229
33,TOI-2202b,0.00010143250940990175,0.00010395239384625221,0.00010658175744495302,0.00010931143143820723,0.00011213369297081476,0.00011504198231804699,0.0001180306840606129,0.00012109495600489392,0.00012423059415166333,0.00012743392516949606,0.00013070172006029434,0.00013403112430284631,0.0001374196009188273,0.00014086488375427369,0.00014436493889756645,0.00014791793262404365,0.0001515222046109537,0.0001551762454351599,0.0001588786775718971,0.00016262823927176058
34,TOI-833b,3.5698447594004215e-05,3.613350294866959e-05,3.662596100416413e-05,3.7169201772841066e-05,3.7757754633654764e-05,3.8387058718404376e-05,3.9053280453467064e-05,3.97531730672937e-05,4.048396729070366e-05,4.124328550732676e-05,4.202907372042933e-05,4.2839547189537815e-05,4.3673146652048165e-05,4.452850281182068e-05,4.540440733657587e-05,4.629978901872619e-05,4.7213694061633284e-05,4.81452696841392e-05,4.909375041111714e-05,5.0058446551322396e-05
35,HD28109c,1.58159709084433e-05,1.6305989716721922e-05,1.681055266858787e-05,1.7328722547850565e-05,1.7859699035431136e-05,1.8402793031527024e-05,1.8957406604282218e-05,1.9523017176968977e-05,2.009916494292122e-05,2.0685442763418336e-05,2.1281487993630014e-05,2.188697581895519e-05,2.2501613784351317e-05,2.3125137273260545e-05,2.3757305747917398e-05,2.4397899604323367e-05,2.5046717526671807e-05,2.5703574250092662e-05,2.636829865916094e-05,2.704073216402779e-05
36,TOI-2641b,9.785213588649467e-05,0.00010087368579152462,0.00010398543054390881,0.00010718152753306645,0.00011045698894352713,0.0001138075212891577,0.00011722940012932091,0.00012071937128368973,0.00012427457222345507,0.00012789246898095094,0.00013157080510794184,0.00013530756007124428,0.0001391009151014865,0.00014294922497366954,0.00014685099454322958,0.0001508048591207818,0.0001548095679656393,0.0001588639703287612,0.00016296700359187718,0.0001671176831396251
37,TOI-1685b,5.005429922183399e-05,5.027351982674525e-05,5.059611193908395e-05,5.10087040555493e-05,5.15003477562693e-05,5.20619957184644e-05,5.268610784013101e-05,5.336635054268483e-05,5.409736471921792e-05,5.487458485758412e-05,5.5694096736216625e-05,5.655252449331716e-05,5.7446940278883473e-05,5.8374791424731415e-05,5.9333841317878966e-05,6.032212107789938e-05,6.133788981552744e-05,6.237960175471387e-05,6.34458788804033e-05,6.453548806275759e-05
38,K2-87b,8.731559277727109e-05,8.98400708862891e-05,9.244891514788269e-05,9.513612389493217e-05,9.789659857979117e-05,0.00010072597173268964,0.00010362047304900028,0.0001065768241085821,0.00010959215483375041,0.00011266393662176558,0.00011578992838991568,0.00011896813270938756,0.00012219675988762877,0.00012547419836209935,0.00012879899014249546,0.00013216981031928377,0.0001355854498689626,0.00013904480114866358,0.0001425468455975106,0.0001460906432588155
39,WASP-178b,4.24193095751403e-05,4.410925428362893e-05,4.5833408477904245e-05,4.7590508528342e-05,4.937943910981686e-05,5.119920810668239e-05,5.304892666511986e-05,5.492779318644851e-05,5.6835080368850444e-05,5.87701246297923e-05,6.0732317404420666e-05,6.272109793468739e-05,6.473594725248498e-05,6.677638312627402e-05,6.884195579068819e-05,7.093224431665959e-05,7.304685350885218e-05,7.51854112397958e-05,7.734756614775647e-05,7.953298563920722e-05
40,HIP29442b,2.2765738389930813e-05,2.3355749258435442e-05,2.396959018910585e-05,2.4605342473613683e-05,2.526138662096565e-05,2.593634421866871e-05,2.6629032875801943e-05,2.7338430946827436e-05,2.8063649650633e-05,2.8803910839763864e-05,2.9558529128717218e-05,3.032689741583674e-05,3.11084750696898e-05,3.1902778224161695e-05,3.270937175494775e-05,3.352786260617641e-05,3.435789420838515e-05,3.51991417842114e-05,3.6051308380459756e-05,3.691412149787655e-05
41,HD152843c,1.4200109542297284e-05,1.4653543701584357e-05,1.5119767971739443e-05,1.559799778992273e-05,1.608756143751213e-05,1.658787903732289e-05,1.709844612756193e-05,1.761882068867234e-05,1.8148612803421715e-05,1.8687476345388345e-05,1.9235102244607245e-05,1.9791212990283628e-05,2.035555811179971e-05,2.09279104393425e-05,2.150806299034304e-05,2.209582636169925e-05,2.269102653342244e-05,2.329350300899613e-05,2.3903107232904195e-05,2.4519701237568196e-05
42,K2-26b,8.637653613338433e-05,8.726058929849455e-05,8.829260311095177e-05,8.945494624034784e-05,9.073308366844153e-05,9.21149256640249e-05,9.35903331951405e-05,9.515073792774748e-05,9.678884720278368e-05,9.849841276184123e-05,0.00010027404780829734,0.00010211108108322919,0.0001040054395509569,0.00010595355339031795,0.00010795227851880921,0.00010999883300365496,0.00011209074455138535,0.00011422580689553082,0.00011640204337704523,0.00011861767637418444
43,TOI-1246d,6.678582212774756e-05,6.844854548442843e-05,7.018324152821824e-05,7.198389405729676e-05,7.384543511259946e-05,7.576355958567334e-05,7.773458174626256e-05,7.975532306616885e-05,8.182302367400227e-05,8.393527184131326e-05,8.608994736262935e-05,8.828517573942258e-05,9.051929083725432e-05,9.279080424152521e-05,9.509837994887434e-05,9.744081333874254e-05,9.981701360139792e-05,0.00010222598897486442,0.00010466683427817233,0.00010713872033251104
44,WASP-62b,3.357601285555619e-05,3.463500106883626e-05,3.572448654427069e-05,3.684255952468994e-05,3.7987586732180826e-05,3.9158159741437024e-05,4.0353054629123136e-05,4.157120012505162e-05,4.281165224315757e-05,4.407357390104741e-05,4.535621841624469e-05,4.6658916041579545e-05,4.798106290276396e-05,4.9322111849374536e-05,5.0681564841018553e-05,5.2058966573665015e-05,5.345389911431551e-05,5.486597736054156e-05,5.629484517872609e-05,5.774017210381824e-05
45,WASP-80b,4.894771812992177e-05,4.968729273763164e-05,5.0498451623936846e-05,5.137338458804247e-05,5.230561287117675e-05,5.328971523956648e-05,5.432111866709117e-05,5.5395936623595333e-05,5.651084287046502e-05,5.766297203706733e-05,5.8849840606992934e-05,6.006928360981661e-05,6.131940350803283e-05,6.259852863379235e-05,6.390517916343286e-05,6.523803908617847e-05,6.659593297305627e-05,6.797780661539808e-05,6.938271080228412e-05,7.080978765933511e-05
46,WASP-22b,7.812213921141934e-05,8.049299216213557e-05,8.29367398018516e-05,8.544853433842049e-05,8.802424295022866e-05,9.066031301527589e-05,9.335366697702107e-05,9.610161951395123e-05,9.890181167817459e-05,0.00010175215807576882,0.00010465080416563732,0.00010759609147842419,0.00011058652908615563,0.0001136207700435248,0.00011669759181245237,0.00011981587990004566,0.00012297461410578346,0.00012617285690038076,0.00012940974355636777,0.00013268447372610215
47,WASP-60b,0.00010648339095917178,0.00010965627941065673,0.00011292983497012358,0.00011629718310281381,0.00011975247128132901,0.00012329067553878753,0.00012690744969132397,0.00013059900664511403,0.0001343620240942142,0.0001381935689499145,0.00014209103629238105,0.00014605209968134052,0.0001500746704255648,0.00015415686397327204,0.00015829697200419262,0.00016249343911847763,0.00016674484325594066,0.0001710498791611268,0.00017540734434987637,0.0001798161271417108
48,TOI-1296b,5.9102435570312604e-05,6.0759044694139705e-05,6.247406800056876e-05,6.424318580812002e-05,6.606273584507622e-05,6.79295872475165e-05,6.984104261162497e-05,7.179476108516627e-05,7.37886974128845e-05,7.582105320481224e-05,7.789023765920025e-05,7.999483566449032e-05,8.213358170886426e-05,8.430533839661521e-05,8.650907864595887e-05,8.874387084931105e-05,9.100886643318774e-05,9.330328937390316e-05,9.562642731673734e-05,9.79776240170494e-05
49,HAT-P-59b,8.513468710386861e-05,8.756063825697456e-05,9.006972364334123e-05,9.26559185726378e-05,9.531410987424488e-05,9.803992174834168e-05,0.00010082958029756715,0.00010367980708700332,0.00010658773473063193,0.0001095508393636178,0.00011256688618381332,0.00011563388519918676,0.00011875005501206554,0.00012191379298187492,0.00012512365048768972,0.00012837831229662973,0.00013167657925960052,0.0001350173537202184,0.000138399627149149,0.00014182246961394544
50,XO-5b,7.909254928870502e-05,8.122008163329596e-05,8.342818123284907e-05,8.57106046605245e-05,8.806207156626515e-05,9.04780787060215e-05,9.295475561490183e-05,9.548875145950361e-05,9.807714549636813e-05,0.00010071737558913197,0.00010340718067460395,0.00010614455410082292,0.00010892770551066449,0.00011175502949570163,0.00011462507965386697,0.00011753654699052883,0.00012048824183381705,0.00012347907861109752,0.0001265080629686837,0.00012957428082138473
51,WASP-99b,2.6178005635227937e-05,2.6993105056355275e-05,2.78321942556158e-05,2.8693739411958844e-05,2.9576430203835625e-05,3.0479137938806865e-05,3.1400882849650235e-05,3.2340808297367554e-05,3.329816023521127e-05,3.4272270720643914e-05,3.526254457126183e-05,3.626844848411941e-05,3.728950210115953e-05,3.832527062399907e-05,3.937535867120614e-05,4.0439405138825405e-05,4.1517078876238876e-05,4.2608075028707696e-05,4.3712111928220724e-05,4.482892843777875e-05
52,HATS-56b,5.425977411215109e-05,5.604926760385135e-05,5.788660176685263e-05,5.9769005671322376e-05,6.169409957949169e-05,6.365982279925409e-05,6.566437715919221e-05,6.770618228918148e-05,6.978383991880965e-05,7.189610513307554e-05,7.404186304574823e-05,7.622010972827719e-05,7.842993650876179e-05,8.06705169602231e-05,8.294109605045793e-05,8.52409810411379e-05,8.756953381160104e-05,8.992616435005999e-05,9.231032520694891e-05,9.472150674557054e-05
53,WASP-70Ab,5.2860153192201924e-05,5.439347439475697e-05,5.597774845940318e-05,5.760936620103995e-05,5.9285260852892515e-05,6.100280480698953e-05,6.275972922808886e-05,6.455406084639058e-05,6.63840717948411e-05,6.824823945352227e-05,7.014521404438805e-05,7.207379228216824e-05,7.403289579718648e-05,7.602155334766394e-05,7.803888606354648e-05,8.008409513233268e-05,8.215645146492854e-05,8.425528697688663e-05,8.63799871952841e-05,8.852998495951069e-05
54,K2-417b,0.00010736613454640986,0.00010858495958565446,0.00010998116729977783,0.0001115340046019962,0.00011322633946036856,0.00011504390322137367,0.00011697471423703561,0.00011900863447473792,0.00012113702487584952,0.00012335247488365686,0.00012564858827290406,0.00012801981214172976,0.0001304612992995646,0.0001329687967182189,0.00013553855448860563,0.00013816725103358337,0.00014085193130052538,0.00014358995538761972,0.00014637895561086178,0.00014921680044060865
55,TOI-1759b,3.0013868401861697e-05,3.040106147321904e-05,3.083541142499084e-05,3.131154892307438e-05,3.1825032840303774e-05,3.237215736273386e-05,3.294980498155594e-05,3.355533320591347e-05,3.418648636113981e-05,3.48413262606268e-05,3.5518177227757e-05,3.6215582135864413e-05,3.693226698556754e-05,3.766711215414959e-05,3.8419128901211895e-05,3.9187440046562444e-05,3.997126398344949e-05,4.076990137600303e-05,4.158272403055627e-05,4.240916553808957e-05
56,WASP-150b,8.750779353259391e-05,9.026256382493396e-05,9.309692138583647e-05,9.600586689015589e-05,9.898512548103515e-05,0.00010203101142457376,0.0001051403223362009,0.00010831025570121355,0.00011153834238565022,0.00011482239322631312,0.00011816045578395621,0.00012155077906327192,0.00012499178452947353,0.00012848204213991837,0.00013202025039915513,0.00013560521966398087,0.00013923585809079843,0.0001429111597443482,0.00014663019448471126,0.0001503920993254387
57,Qatar-4b,0.0001595543990062795,0.00016360341559781797,0.00016782201950182727,0.00017219627903080107,0.00017671444754288376,0.0001813665374741949,0.00018614399046831316,0.00019103941929820274,0.00019604640403120998,0.00020115932960899165,0.0002063732553577521,0.00021168380934123425,0.00021708710220734817,0.00022257965645357803,0.00022815834797988322,0.0002338203575030078,0.000239563129937993,0.00024538434025707487,0.00025128186464618116,0.0002572537560185888
58,TOI-1201b,6.473850610444403e-05,6.507172752980467e-05,6.553545078144475e-05,6.611295614231373e-05,6.679054189375196e-05,6.7556876173295e-05,6.840250747593016e-05,6.93194906473968e-05,7.030109803424735e-05,7.13415941690376e-05,7.243605838138403e-05,7.358024393130481e-05,7.477046524093218e-05,7.600350693698094e-05,7.727654996518484e-05,7.858711117255358e-05,7.99329935927563e-05,8.131224529670365e-05,8.27231251425004e-05,8.416407411742809e-05
