planet_ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_radius_m,planet_surface_gravity
14,247.074,2.1518323069460472e+30,714198662.9999999,6051.5,6.4168309036e+25,6.8697281,0.07260974618270419,20332404.050768,9.907258613579327
15,1236.56,1.9685257719910705e+30,688743000.0,5761.0,4.59316e+25,25.873148,0.17064116776228955,16778640.0,10.413780752132107
16,1416.44,2.107714462939934e+30,751356000.0,5903.0,1.8676320000000003e+26,4.19042557,0.05186964515398012,38311227.99999999,8.121748349849074
17,366.962,2.2442933659335066e+30,1196604000.0,6125.9,6.675700585059999e+26,9.07788,0.08867106244848443,80898935.360096,6.5106088619634015
18,598.582,1.6881997484200593e+30,674829000.0,5427.0,6.22756458324e+26,1.0649771,0.019325639258580704,77834671.56242098,6.561186968244671
19,446.821,2.107714462939934e+30,827883000.0,5977.0,5.010720000000001e+25,7.810253,0.07855694595123672,17617572.0,10.304297590235851
20,275.493,4.7036600273566863e+30,1182690000.0,8728.0,5.2082100886399995e+26,5.26491,0.07891720357888757,70149999.282642,6.7552825768929035
21,561.854,2.730335303702261e+30,1113120000.0,6595.0,5.482618189334e+27,8.61346,0.09140209867305284,128989727.773394,21.032365389932842
22,404.622,1.737313472226301e+30,695700000.0,5522.0,4.8494692414999996e+26,8.7264492,0.07930188628680795,67165569.722218,6.861375241390454
23,759.341,1.8929661969045443e+30,1287045000.0,5740.0,6.30401015842e+26,18.010652,0.13228166565073976,78371058.04712999,6.551124487848952
24,703.242,3.4335861647213944e+30,1377486000.0,7517.0,2.41184104174e+26,1.6224281,0.03241843422842248,44454902.722343,7.789681853367785
25,587.369,2.1297112471345312e+30,1342701000.0,6033.7,3.0133819066000008e+26,1.1736318,0.02227890794437624,50611809.010279,7.508632054887157
26,87.4715,1.7904079925936803e+30,1001808000.0,5624.7,7.988191048136e+27,0.8490649,0.016945081932907485,151752474.133787,22.14049111452449
27,707.688,1.710032488800324e+30,535689000.0,5180.0,3.34048e+25,16.00460052,0.11820484481668495,13912288.999999998,11.015952697664831
28,154.83,1.6702642913863629e+30,556560000.0,5181.0,4.63112e+25,4.7369729,0.05208743001179628,16848551.0,10.41289019159517
29,830.638,2.6644692267353885e+30,1015722000.0,6406.0,6.11156e+25,22.20813214,0.17048343575788608,19854724.0,9.895431550436452
30,719.166,1.94864167328409e+30,626130000.0,5815.0,2.2206600000000003e+25,13.751243,0.1115858769171639,10906116.0,11.916595901994784
31,606.128,1.7696847849212654e+30,1196604000.0,5250.0,4.59316e+25,5.628466,0.05957022877599019,16778640.0,10.413780752132107
32,385.231,1.6304960939724016e+30,570474000.0,5243.0,4.42234e+25,18.369917,0.12754065644598775,16429084.999999998,10.457689520946584
33,273.946,1.988409870698051e+30,723528000.0,5918.0,5.92176e+25,65.70459747,0.3186909570698856,19505168.999999996,9.9348596196844
34,1027.8,2.028178068112012e+30,709614000.0,5840.0,9.52796e+25,99.747622,0.4237479975375077,25727248.0,9.188055866779058
35,1026.43,1.9287575745771094e+30,904410000.0,5551.0,3.66314e+25,10.681572,0.09396943032157742,14681310.0,10.847615099539196
36,167.948,2.0151539834589396e+30,914386338.0,5853.8,5.070841997000001e+25,38.5540291,0.22434428202727086,17661885.996192995,10.375673382774517
37,965.56,2.3264395487167196e+30,925281000.0,6117.0,3.15068e+25,47.318218,0.26980714238200715,13422912.0,11.161464390844072
38,225.888,3.5592536685495116e+30,1356615000.0,7300.0,4.3653999999999995e+27,1.902603,0.03648847360231846,131083125.0,16.215891852840684
39,1097.23,2.1872508577678563e+30,800054999.9999999,5998.0,1.97392e+25,37.3331536,0.22568355498658843,10137095.0,12.260632701638578
40,749.29,2.073911495138067e+30,980937000.0,5972.0,1.5304504817160002e+27,1.726988,0.028568582881574395,93084888.33726698,11.273824920104941
41,172.138,1.7729855453066242e+30,590583904.2,5591.0,3.3523436388000003e+25,9.2375582,0.08292884218170894,13796110.410822997,11.242051632210385
42,710.345,2.931661803110439e+30,1064421000.0,6865.0,2.3970101266799998e+26,1.0191022,0.022557044389803604,44302344.40627399,7.795192038726402
43,1177.53,1.7299165875073044e+30,570474000.0,5513.0,4.40336e+25,37.88660049,0.21076706323735125,16359174.000000002,10.501995248861496
44,436.016,1.8492211797491874e+30,626130000.0,5526.0,1.8448560000000002e+25,13.14497566,0.10640778627071729,9787540.000000002,12.29209027082498
45,501.229,1.829337081042207e+30,723528000.0,5868.0,3.47334e+25,105.0149994,0.4237106690650243,14191933.000000002,11.007141799449858
46,31.5666,1.4369575338872614e+30,438495535.8,4695.0,4.1939143714e+25,6.3980596,0.060526548711097396,15731710.960041,10.816282209055124
47,222.663,5.269286157349835e+30,1266174000.0,6600.0,4.371094e+27,4.62767,0.0752135545335673,99273620.0,28.30953895733559
48,268.325,1.9287575745771094e+30,702657000.0,5616.0,2.1902919999999997e+27,0.78883852,0.016540750810298797,98924065.0,14.285928642123695
49,651.999,1.988409870698051e+30,834840000.0,5770.0,1.9739200000000003e+26,296.637865,0.8689963258948978,39639537.0,8.018308637370211
50,836.501,2.053530293963412e+30,1120077000.0,5931.0,4.3258778055479994e+27,3.994474,0.04980112831244997,118480918.22354598,19.669249663410525
51,969.0,1.6702642913863629e+30,535689000.0,5307.0,1.8885100000000005e+26,135.498527,0.48717917146798,38520960.99999999,8.12335495560568
52,389.119,1.5718777709842232e+30,584388000.0,5202.0,3.0016963002e+26,0.3125737,0.008334386279469952,50504718.78119101,7.511267058780743
53,157.682,1.6503801926793823e+30,598302000.0,5271.0,1.254578e+25,4.34934,0.04900956388412017,7550388.0,14.046544387632533
54,713.167,1.4913074030235383e+30,500904000.0,4906.0,2.1827000000000003e+25,3.76419105,0.04303027227512537,10766294.0,12.019099931511015
55,68.0726,1.4655906360253134e+30,512862387.3,4803.0,4.0804785034e+25,6.4438568,0.0612163210689335,15468048.334997,10.88555110726796
56,365.226,2.1063474311538294e+30,1363572000.0,6014.9,6.49121289726e+26,4.1394473,0.05143246268143574,79684581.29009598,6.525106902691968
57,22.4035,1.9685257719910705e+30,633087000.0,5640.0,3.15068e+25,7.10793,0.0721129165710779,13422912.0,11.161464390844072
58,506.965,2.465628239665583e+30,1001808000.0,6096.0,2.004288e+27,3.646706,0.04981731276740692,93121451.99999999,14.75268318251444
59,52.616,1.17316182371185e+30,403506000.0,3950.0,1.8393518e+26,4.052037,0.04172267772124112,29292709.0,13.682205059401653
60,528.825,2.0480621668189925e+30,751356000.0,5693.0,1.38554e+27,3.3326414,0.044100552736008956,85011776.0,12.236895679312076
61,292.085,2.897361732840898e+30,1537497000.0,6819.0,1.2915726392399999e+26,2.78186,0.04388574733904952,30721661.805688996,8.734535136651777
62,352.0,1.0936254288839282e+30,361764000.0,3724.0,2.01188e+26,76.378033,0.2886727419242605,40128914.0,7.974392867680224
63,1151.73,2.028178068112012e+30,702657000.0,5828.0,2.03086e+25,31.7785901,0.19766466550382525,10346828.0,12.108097077921652
64,426.798,2.5225464722143148e+30,1300959000.0,6349.8,4.08689731164e+26,7.5428086,0.08148309731256087,60423503.19086799,7.144836446867903
65,824.688,1.6106119952654213e+30,521775000.0,4963.0,1.5487680000000002e+26,5.90741354,0.059620986376780025,34326301.0,8.38962833758683
66,1342.29,3.1019193982889596e+30,1572281999.9999998,6460.0,3.01782e+27,3.2642736,0.049950342334651954,110459379.99999999,15.786959608667338
67,362.075,1.464265028782045e+30,570474000.0,4798.0,3.9913711045e+26,15.9537277,0.11199890038942913,59553060.205838,7.183305061897622
68,308.013,2.367450502299867e+30,932238000.0,6225.0,4.16128674546e+26,3.1661578,0.04472473252254652,61101346.054934986,7.11437012180432
69,557.087,2.744502724030985e+30,1273131000.0,6614.0,5.65381216556e+26,8.7614828,0.0926059111481725,73640877.480067,6.654475559421091
70,1357.01,1.8889893771631484e+30,681786000.0,5913.0,2.25862e+25,3.701212,0.04603728926604301,11045938.0,11.815397442964864
71,114.048,2.0692884421886944e+30,800054999.9999999,5962.7,3.6071374981200004e+26,8.0277069,0.07951219835109591,56051890.829569,7.328119286766473
72,2300.53,1.8492211797491874e+30,633087000.0,5612.0,1.761344e+26,49.7701438,0.258491429136364,36982919.0,8.219628315317058
73,488.66,3.618905964670453e+30,1078335000.0,6250.0,3.8908999999999995e+27,3.8559,0.05875978597735481,98574510.0,25.55825407479792
74,758.854,1.749800686214285e+30,605259000.0,5433.0,1.1615759999999999e+26,10.08881,0.08757095527296165,28943154.0,8.850469042103244
75,775.328,2.306555450009739e+30,911367000.0,6092.0,1.49942e+25,7.466623,0.07856118881242873,8668964.0,12.735009356242083
76,200.273,1.767815679642809e+30,744399000.0,5581.0,5.5977654023200004e+26,796.418,1.6176700835889637,73218005.34623599,6.664833044696595
77,868.477,1.6304960939724016e+30,577431000.0,4974.0,2.31556e+25,3.20538,0.03982571062089321,11185760.0,11.812325687852328
78,942.173,2.9030784112191546e+30,1078335000.0,6158.0,5.010720000000001e+25,140.101261,0.5989421572963605,17617572.0,10.304297590235851
79,537.963,2.3662077461306806e+30,1106163000.0,5630.0,1.63228e+27,3.20466,0.045082659508735905,90884300.0,12.61325843164986
80,115.369,9.361433671246423e+29,343380823.2,3477.0,1.7518138383199997e+26,4.5062989,0.041536177814060285,36795136.306225,8.258810255136362
81,130.409,1.8009028198912247e+30,793097999.9999999,5645.0,3.9505776752e+25,3.9919239,0.04764865801662777,15166640.271676,10.962060656388395
82,31.964,2.4709845187547758e+30,890496000.0,6308.31,2.2744906963999997e+25,3.58529,0.04928770691386585,11048376.985057,11.893168270978167
83,201.338,1.6702642913863629e+30,556560000.0,4953.0,4.046536e+27,3.3098443,0.04101449539548827,75084413.99999999,45.81357524833632
84,799.699,1.8889893771631484e+30,612216000.0,5475.0,4.32744e+25,16.45809937,0.12448973897059619,16149440.999999998,10.590743128056081
85,108.159,1.707845237942556e+30,584286427.8,5465.0,4.0462425692e+25,14.058151,0.1083595980754825,15388610.77276,10.905948751069468
86,627.308,3.264969007686199e+30,1390196439.0,7305.0,3.8594482818579995e+27,4.3744665,0.06175547923757982,114243477.30567198,18.874383123134738
87,548.364,1.908873475870129e+30,681786000.0,5642.0,3.68212e+25,56.4349938,0.2840721336416722,14751221.0,10.800711525736022
88,1033.93,1.8889893771631484e+30,640044000.0,5627.0,4.06172e+25,38.3774623,0.2189094981550429,15590152.999999998,10.666442453891928
89,84.5243,9.369387310729216e+29,325371933.0,3478.0,5.202272803e+25,12.8900536,0.08372194159177962,17911253.919066995,10.350265945940926
90,758.3,1.7696847849212654e+30,528732000.0,5756.4,4.21356e+25,69.8956,0.31944968302279453,15939707.999999998,10.58519414378484
91,2004.72,2.1275985616469148e+30,772227000.0000001,5998.0,4.91582e+25,2.53475627,0.03721556622396498,17477750.0,10.271533670916206
92,480.307,1.8492211797491874e+30,633087000.0,5650.0,4.57418e+25,11.2510285,0.09592424003665982,16708729.0,10.457714664925238
93,338.84,1.7074316486894507e+30,716571000.0,5464.2,5.1953898958e+26,1.9026583,0.028561919290740277,70043345.71766,6.7591914554092005
94,10.6194,5.368706650884738e+29,208710000.0,3415.0,1.15778e+25,7.4507245,0.0482569081045082,9507895.999999998,8.174619853185002
95,36.9941,1.6503801926793823e+30,605259000.0,5212.0,2.5343994000000002e+26,55.087,0.26629602247406853,24259117.0,27.487512940479498
96,99.66,1.7021583857123596e+30,544511171.6999999,5454.0,3.9989789528e+25,10.1843061,0.0873078641820535,15278945.302076,10.933840493433568
97,1442.02,1.8094529823352264e+30,605259000.0,5438.0,1.131208e+26,3.58410122,0.04441945333116295,28523687.999999993,8.874450696718148
98,896.974,2.783873239470806e+30,925281000.0,6666.8,3.1482939672600004e+26,2.33658,0.03855103130822837,51848179.871865,7.475127675771086
99,1295.5,4.428341736497043e+30,3673296000.0,8528.0,7.43141233627e+27,2.682814,0.049344622476635285,146694224.66390902,22.04223837915651
100,260.641,2.041500414245689e+30,1106163000.0,5906.8,5.707595235446e+27,8.76905,0.08395577989332972,131033609.83514,21.21769115643184
101,489.876,1.829337081042207e+30,612216000.0,5477.0,1.9929e+25,2.5904434,0.03590469556061669,10207006.0,12.209535302100115
102,968.722,1.6702642913863629e+30,556560000.0,5261.0,4.42234e+25,18.5525701,0.12942009589712697,16429084.999999998,10.457689520946584
103,280.629,2.1474826603538953e+30,751356000.0,5975.0,1.5544619999999998e+25,23.12748644,0.16300444331123756,8878697.0,12.586124031847076
104,90.7402,1.6084338910930585e+30,612216000.0,5272.71,4.6559589362e+25,10.6952858,0.08851735195185502,16819272.063467,10.505219180197448
105,338.522,1.749800686214285e+30,591345000.0,5431.0,3.0937399999999995e+25,9.59070716,0.0846643435747779,13283090.0,11.191697159590888
106,1278.97,2.0480621668189925e+30,1287045000.0,5877.0,6.81382e+25,6.562331,0.06928252877198204,21113122.0,9.756546304918142
107,471.158,1.9685257719910705e+30,772227000.0000001,5715.0,1.1634740000000001e+27,4.2986432,0.0515709618987244,88087860.0,9.570506701234207
108,81.7647,2.2469031538887973e+30,772227000.0000001,5302.0,4.160416e+27,3.21222,0.04438152661487046,80397650.0,41.082836061791255
109,1171.09,2.2307473236893758e+30,1704465000.0000002,6115.0,3.8568380820319996e+27,0.4021282,0.011078787319932087,114219764.05375999,18.869450671766817
110,270.518,1.5157250762357103e+30,626130000.0,4992.1,2.06835986786e+26,3.2588539,0.03929607291529451,40516765.476779,8.042053080840995
111,835.86,1.9287575745771094e+30,716571000.0,5806.0,3.6061999999999998e+25,20.342199,0.1443760242304037,14541488.0,10.885352025860618
112,764.85,2.5215522672789656e+30,980937000.0,6349.0,3.3390342934e+26,5.4588359,0.06567323798813936,53596176.210091,7.419312002743537
113,894.68,1.8158954303162882e+30,1001808000.0,5674.0,6.676098728520001e+26,4.253182,0.04984313326192282,80901430.204042,6.510595592260406
114,66.3631,2.7363005333143553e+30,1101745305.0,6603.0,8.591811358e+25,1.4415044,0.027777787962860356,23916107.697019,9.587692574088585
115,486.105,1.7696847849212654e+30,598302000.0,5403.0,5.25746e+25,8.6893073,0.07957182905277808,18176860.0,10.156606353392474
116,797.72,2.4457441409586026e+30,1022679000.0,6115.0,6.01666e+25,19.747412,0.15320786585901586,19644991.000000004,9.950895599016322
117,553.077,2.4457441409586026e+30,897453000.0,6310.0,5.37134e+25,9.94067247,0.0969508113861142,18386593.0,10.141226578019356
118,866.835,2.237085380152226e+30,1294002000.0,6120.1,6.56979269752e+26,4.42477,0.05485973841471261,80235313.022628,6.513747679027526
119,845.97,2.1474826603538953e+30,800054999.9999999,5886.0,2.01188e+25,9.024389,0.08704136463354087,10276917.0,12.158688807773656
120,521.054,1.908873475870129e+30,674829000.0,5644.0,6.33932e+25,67.093408,0.318798459181545,20274190.0,9.843873371027128
121,515.356,2.2443679313036575e+30,1015722000.0,6125.96,4.62814344252e+26,2.1811914,0.034270960883402465,65243310.149307996,6.939772035665309
122,406.497,1.619957521657702e+30,709614000.0,5295.0,5.9355340137599995e+26,3.8960447,0.04525670260091476,75766464.946979,6.599577244987006
123,841.958,1.7280077140314343e+30,890259462.0,5504.0,6.05164885182e+26,1.7025777,0.026628841014646874,76600344.54892,6.58298160800204
124,85.799,1.6695882320303255e+30,584788723.2,5391.0,4.5789997812e+25,10.7788277,0.09009137668829133,16638125.601456,10.557769927126738
125,263.609,1.4515392056095773e+30,500904000.0,4546.0,4.6121400000000006e+26,3.1316666,0.03772221634301644,55928799.99999999,9.41113161360038
126,57.7911,6.561752573303569e+29,215667000.0,3430.0,3.245580000000001e+25,35.189346,0.14523947756296507,13702555.999999998,11.033149808469139
127,225.643,2.2979804324423536e+30,1864476000.0,6169.1,3.699583535960001e+26,7.2468703,0.07690977009340548,56894267.134806,7.295015026326035
128,1904.54,2.3662077461306806e+30,890496000.0,6202.0,3.7390599999999997e+25,24.3347127,0.17416960640603554,14821132.0,10.864507691352308
129,973.368,1.8492211797491874e+30,633087000.0,5550.0,5.10562e+25,33.8786838,0.2000251341144256,17827305.0,10.25386195937581
130,194.791,2.040605629803875e+30,804563136.0,5905.0,6.183509004399999e+25,27.9992323,0.18201877529798288,19947960.875060998,9.918553721628754
131,100.248,1.3348858258658216e+30,451935764.1,4310.0,7.901223868200002e+25,16.3469682,0.11037530865738451,22778230.458406,9.719966534112908
132,962.63,2.0878303642329535e+30,667872000.0,5568.0,3.7390599999999997e+25,4.88752985,0.057292171418586904,14821132.0,10.864507691352308
133,263.386,2.0480621668189925e+30,820926000.0,5920.0,2.31681634314e+26,8.5145626,0.08241160117662022,43386558.055487,7.855821012874587
134,665.912,1.94864167328409e+30,653958000.0,5678.0,1.8847139999999998e+25,10.222157,0.09156783744917299,9927362.0,12.206414322463846
135,161.498,3.420064977600648e+30,1801863000.0,6272.0,1.930266e+27,3.308958,0.0520726348413193,108012495.0,10.560379680666806
136,961.405,1.9685257719910705e+30,681786000.0,5734.0,5.561139999999999e+25,55.63934,0.2842970014545802,18806058.999999996,10.03641492863794
137,461.605,2.3351388419010234e+30,605259000.0,6199.0,4.90337409276e+26,4.9873145,0.060271844858551187,67614013.761807,6.84592222082649
138,452.15,1.5408320655325277e+30,674829000.0,5086.8,4.3026043169720003e+27,2.0449545,0.02896053723711189,118269482.12167498,19.633439398335625
139,446.453,2.157424709707385e+30,793097999.9999999,6056.0,2.1432931546e+26,1.6117444,0.027644478913027737,41382281.20444,7.988460455289027
140,411.532,1.5491038505946315e+30,5843880000.0,5118.0,7.494251861200001e+26,6.98301,0.06578916368226088,85074641.928708,6.609040185928426
141,70.9325,1.0474943198837333e+30,313065000.0,3617.0,1.9162847436200002e+26,7.699087,0.061627675754077425,38760224.406399995,8.141376594692508
142,344.05,2.6048169306144467e+30,967022999.9999999,6065.0,4.075006e+27,5.00542,0.0626647554817102,76202989.99999999,44.79139577080398
143,281.184,3.0427642046356927e+30,1356615000.0,7014.0,4.04461691322e+26,18.8238,0.1595854813995023,60038240.448507994,7.161959319343743
144,632.543,2.6677003927752726e+30,688743000.0,6511.0,3.98555301326e+26,9.5680636,0.09728087430592018,59500045.226407,7.185621983704684
145,446.035,1.710032488800324e+30,591345000.0,5080.0,1.06288e+27,2.7439004,0.036479673851400614,74595037.0,12.191993867875336
146,301.872,1.4735442755081057e+30,605259000.0,4833.0,6.183741718180001e+26,3.781737,0.042988044535048314,77527184.87747201,6.566798355984077
147,1198.25,2.1673667590608758e+30,779184000.0000001,6026.0,2.14474e+25,47.449955,0.2640008166773994,10696383.0,11.964956644046536
148,159.375,2.0685825566845963e+30,1384707366.0,5961.28,2.83357760972e+26,5.8182239,0.06414807839908646,48793103.84772099,7.596763197426126
149,578.129,1.9889069731657255e+30,1175733000.0,5801.0,5.717546777800001e+26,11.764904,0.10124249219009772,74121754.28122099,6.642456445064846
150,798.595,1.5907278965584408e+30,500904000.0,5431.0,1.799304e+25,4.95061016,0.05277663736827505,9647717.999999998,12.338595076343937
151,820.182,3.033816360217551e+30,577431000.0,7002.0,9.4181054682e+25,2.6156239,0.042770635805580354,25277588.278031997,9.408115618105745
152,608.68,2.6644692267353885e+30,1001808000.0,6394.0,8.74978e+25,81.4162941,0.4053358849177791,24538761.0,9.274750593343201
153,386.71,1.7280077140314343e+30,813969000.0,5504.0,4.15046510866e+26,7.7538288,0.07316304564888436,61002738.26729899,7.118827596814635
154,1058.72,2.2469031538887973e+30,786140999.9999999,6402.0,1.898e+25,8.005013,0.08157806690626913,9997273.0,12.12114014188916
155,965.56,2.3264395487167196e+30,925281000.0,6117.0,3.15068e+25,47.318218,0.26980714238200715,13422912.0,11.161464390844072
156,227.775,1.411771008195616e+30,466119000.0,4629.0,1.97392e+25,4.09639,0.044701923969296176,10137095.0,12.260632701638578
157,242.113,1.869105278456168e+30,605259000.0,5519.0,1.7461599999999998e+25,2.588309,0.03614314448928851,9507895.999999998,12.328934860541313
158,78.0863,2.803657917684252e+30,1078335000.0,6040.0,6.14003e+27,21.21663,0.1682015036193961,76902099.99999999,66.26809132672933
159,926.193,3.137462224727687e+30,1154862000.0,7141.0,1.439759399208e+27,4.8257226,0.0650629098760294,92260973.709444,10.79603348100034
160,620.413,1.6173725888257947e+30,813969000.0,5290.0,1.3543546244020003e+27,4.8149989,0.052091464360662185,91485084.37315999,10.32861708289638
161,428.115,1.880240373732077e+30,1259217000.0,5732.0,1.7107779774800003e+26,1.4728133,0.024865775104912637,36253615.417854,8.30809343553463
162,272.655,2.1872508577678563e+30,1008765000.0,6397.0,3.0595760000000003e+27,4.12508,0.05196668892159573,87388750.0,25.571756413153555
163,1160.63,1.94864167328409e+30,723528000.0,5796.0,8.161399999999998e+25,96.101141,0.407881138036813,23490095.999999996,9.440727195599607
164,188.964,2.0451789725064805e+30,838534167.0000001,5914.2,3.9106642536e+25,13.4190972,0.1115556875770425,15074029.379708998,10.985053710315167
165,109.218,1.3322346133676942e+30,452205000.0,4272.0,4.11866e+25,9.79551,0.07840592272547633,15729974.999999998,10.624542669282695
166,287.244,1.4565765099525423e+30,507861000.0,4769.0,2.079608670438e+27,0.3093954,0.008070233134675225,98073906.55179799,13.800189109789939
167,98.3018,1.7783622055969917e+30,862668000.0,5601.4,3.7779515383999997e+25,1.9126534,0.029053380356703164,14766096.802401999,11.0594958035717
168,587.91,1.869105278456168e+30,633087000.0,5527.0,3.9857999999999995e+26,11.72012266,0.09892436934264466,59843816.0,7.10374417251414
169,932.446,1.869105278456168e+30,640044000.0,5628.0,4.9537800000000005e+25,109.6471842,0.4392180449397265,17547661.0,10.268537933167613
170,1086.24,2.3264395487167196e+30,897453000.0,5750.0,1.759446e+27,1.7208604,0.02961635557557438,93750651.0,12.77725981333855
171,593.676,2.0053113545989842e+30,633087000.0,5834.0,7.1557698485e+26,9.5468517,0.08832150627662642,83907065.728274,6.487384876158057
172,571.615,1.7641967736781387e+30,688743000.0,5574.0,1.5521704686800003e+26,2.5089015,0.034721927602944146,34160585.36382,8.489833561844566
173,516.104,3.046492473143251e+30,1147905000.0,7019.0,1.1494921742200002e+26,0.9298045,0.021492827063346695,28699547.093081,8.90771473243911
174,1119.45,2.306555450009739e+30,862668000.0,6168.0,5.4472600000000005e+25,76.613377,0.3709610407977551,18526415.0,10.129912552018235
175,206.229,2.854859471854727e+30,955801359.0,6762.0,2.3981441057599997e+26,748.074286,1.8182076972570171,44314008.986713,7.794774604300083
176,111.059,1.710032488800324e+30,591345000.0,5320.0,3.959228e+25,9.15059,0.08142756528552648,17198106.0,8.54396847565059
177,439.932,1.840472176318116e+30,1767078000.0,5707.0,5.3508817426999994e+26,9.258279,0.08409348292281542,71336910.34888,6.711307365927681
178,215.045,1.4305946223010276e+30,549603000.0,4671.0,2.8411063873400002e+26,18.565257,0.12295284575196831,48870548.73672499,7.592825753244105
179,1204.71,3.267355099531037e+30,1878390000.0000002,7308.0,7.06180645456e+26,1.833122,0.0345906537826143,83318288.01007599,6.493001498033634
180,52.616,1.176343279504967e+30,422812370.70000005,3779.0,1.3041652808599999e+26,4.0520368,0.0417566860595697,30887838.085448,8.725051079234554
181,369.583,4.3471228407033904e+30,765270000.0000001,8469.0,1.0331942285079999e+27,3.6923071,0.06067804687008824,88567391.29404801,8.407069418673153
182,14.682,1.7299165875073044e+30,737442000.0,5664.0,2.81853e+25,11.57797,0.09562407899299064,10346828.0,16.804228187582854
183,677.662,1.714049076739134e+30,1079914239.0,5477.0,4.7424798906420004e+27,5.3153476,0.05672762610383865,122265684.50757699,20.249145392073654
184,286.8,2.051541884092714e+30,775406349.0,5927.0,9.620412339199998e+25,5.1660127,0.05909664883351844,25610928.190602995,9.361671929905803
185,322.356,1.65045972907421e+30,751356000.0,5354.0,4.6978908428400007e+26,5.5452538,0.05762111723024678,65861402.039183,6.912757884306729
186,780.256,1.6901483900933434e+30,723528000.0,5180.0,1.296334e+26,24.664551,0.1570945139595493,30900662.0,8.665461805762508
187,521.716,2.6247010293214275e+30,1092249000.0,6504.0,4.89684e+25,12.409,0.11507696547047176,17407839.0,10.31422400420393
188,1236.56,1.9685257719910705e+30,688743000.0,5761.0,4.59316e+25,25.873148,0.17064116776228955,16778640.0,10.413780752132107
189,965.56,2.3264395487167196e+30,925281000.0,6117.0,2.12576e+25,14.383035,0.1219742659612601,10696383.0,11.859072071975326
190,480.702,2.0868361592976046e+30,1050507000.0,5998.0,2.86727570766e+26,5.6155837,0.062833579248264,49139739.85373799,7.579038568924576
191,791.163,1.710032488800324e+30,563517000.0,5172.0,3.35946e+26,51.84688575,0.25879378050532637,54111113.99999999,7.323301129202971
192,53.8027,1.228399849919842e+30,425167315.2,3927.0,3.6909234934000003e+25,22.0379547,0.1310166591094401,14564165.939912999,11.106422077178696
193,656.38,2.028178068112012e+30,737442000.0,5502.0,5.9787e+25,44.699576,0.2481465419413887,19575080.000000004,9.95886943238135
194,844.061,2.2667872525957778e+30,709614000.0,5880.0,7.857719999999999e+27,9.24285,0.09004883977937528,58725240.0,145.43110917128325
195,192.69,4.4540381103636346e+30,960065999.9999999,5757.0,1.1388e+26,4.01593,0.064701248839366,11884869.999999998,51.459902026607224
196,329.041,1.8492211797491874e+30,674829000.0,5519.0,5.10562e+25,22.631964,0.15285572632819566,17827305.0,10.25386195937581
197,685.087,2.0878303642329535e+30,737442000.0,5893.0,3.245580000000001e+25,37.6467384,0.223453539496134,13632644.999999998,11.146600474481273
198,879.683,2.0878303642329535e+30,751356000.0,5902.0,2.7521e+25,2.57885507,0.03740993537416706,12444158.0,11.343407789551907
199,552.798,2.2667872525957778e+30,1210518000.0,5999.0,5.1245999999999996e+25,9.341,0.0906852037166061,9717628.999999998,34.637753007402665
200,1515.26,2.6445851280284077e+30,1140948000.0,6325.0,1.2906400000000002e+27,3.67724,0.0512787895717021,95078959.99999999,9.112690983878364
