,Planet Name,Noise Estimate 1.1-1.1425um,Full Phase Curve Noise Estimate 1.1-1.1425um,Noise Estimate 1.1425-1.185um,Full Phase Curve Noise Estimate 1.1425-1.185um,Noise Estimate 1.185-1.2275um,Full Phase Curve Noise Estimate 1.185-1.2275um,Noise Estimate 1.2275-1.27um,Full Phase Curve Noise Estimate 1.2275-1.27um,Noise Estimate 1.27-1.3125um,Full Phase Curve Noise Estimate 1.27-1.3125um,Noise Estimate 1.3125-1.355um,Full Phase Curve Noise Estimate 1.3125-1.355um,Noise Estimate 1.355-1.3975um,Full Phase Curve Noise Estimate 1.355-1.3975um,Noise Estimate 1.3975-1.44um,Full Phase Curve Noise Estimate 1.3975-1.44um,Noise Estimate 1.44-1.4825um,Full Phase Curve Noise Estimate 1.44-1.4825um,Noise Estimate 1.4825-1.525um,Full Phase Curve Noise Estimate 1.4825-1.525um,Noise Estimate 1.525-1.5675um,Full Phase Curve Noise Estimate 1.525-1.5675um,Noise Estimate 1.5675-1.61um,Full Phase Curve Noise Estimate 1.5675-1.61um,Noise Estimate 1.61-1.6525um,Full Phase Curve Noise Estimate 1.61-1.6525um,Noise Estimate 1.6525-1.695um,Full Phase Curve Noise Estimate 1.6525-1.695um,Noise Estimate 1.695-1.7375um,Full Phase Curve Noise Estimate 1.695-1.7375um,Noise Estimate 1.7375-1.78um,Full Phase Curve Noise Estimate 1.7375-1.78um,Noise Estimate 1.78-1.8225um,Full Phase Curve Noise Estimate 1.78-1.8225um,Noise Estimate 1.8225-1.865um,Full Phase Curve Noise Estimate 1.8225-1.865um,Noise Estimate 1.865-1.9075um,Full Phase Curve Noise Estimate 1.865-1.9075um,Noise Estimate 1.9075-1.95um,Full Phase Curve Noise Estimate 1.9075-1.95um
10,TOI-4463Ab,6.533328302832099e-05,1.7809743556397553e-05,6.717967255971501e-05,1.8313066250974066e-05,6.909024660957524e-05,1.8833885537810893e-05,7.106030591576706e-05,1.9370920405918798e-05,7.308586432501459e-05,1.9923084236589382e-05,7.516351233092076e-05,2.0489447604087837e-05,7.729031095883515e-05,2.1069209348845623e-05,7.946370841698032e-05,2.166167385669704e-05,8.16814740167499e-05,2.2266233045663174e-05,8.394164532766166e-05,2.2882351960480545e-05,8.624248557254741e-05,2.350955715860125e-05,8.858244901718585e-05,2.4147427275464807e-05,9.096015265355426e-05,2.4795585305400012e-05,9.33743528767503e-05,2.545369224379282e-05,9.582392615349483e-05,2.612144181735264e-05,9.830785290345154e-05,2.6798556090187028e-05,0.00010082520398356577,2.748478177945509e-05,0.00010337512929446383,2.8179887149490997e-05,0.00010595684812701853,2.888365938029394e-05,0.00010856964094386937,2.9595902327184268e-05
11,TOI-3785b,0.00013365110849513961,2.7868931554633005e-05,0.00013457292428021612,2.8061148598767827e-05,0.0001357495981332423,2.830650865182945e-05,0.00013714922313883508,2.8598358483246576e-05,0.00013874559943273334,2.893123489685078e-05,0.00014051701727463867,2.9300610977203384e-05,0.00014244533613363196,2.970270406046986e-05,0.00014451527972057915,3.013432873456435e-05,0.00014671389056014316,3.059278310649582e-05,0.0001490301038158607,3.107575993636531e-05,0.00015145441122833852,3.15812765617526e-05,0.00015397859383916307,3.2107619165301023e-05,0.00015659550771860402,3.265329809465432e-05,0.00015929891089815055,3.3217011774426e-05,0.00016208332260148468,3.3797617353039365e-05,0.00016494390798994644,3.439410666984981e-05,0.00016787638321124178,3.5005586455899686e-05,0.0001708769367160941,3.563126192686508e-05,0.00017394216369455036,3.6270423111713157e-05,0.00017706901115810322,3.692243340122528e-05
12,WASP-124b,0.00013686886377136293,4.036589093720873e-05,0.00014105922044557173,4.160172702029096e-05,0.0001453764959034765,4.28749944784821e-05,0.00014981236002283192,4.418323656013838e-05,0.00015435970632194585,4.55243573943873e-05,0.00015901242178014864,4.689655410569641e-05,0.00016376520719997383,4.829826383439777e-05,0.00016861343562124656,4.972812197962712e-05,0.0001735530396970741,5.1184928983818565e-05,0.0001785804213372391,5.266762368438702e-05,0.00018369237863408513,5.4175261762429795e-05,0.00018888604632060223,5.570699818239647e-05,0.00019415884691204965,5.72620727825887e-05,0.00019950845034768323,5.883979837254339e-05,0.0002049327404448792,6.043955083955412e-05,0.0002104297868506336,6.206076087649961e-05,0.00021599782145815603,6.370290702653494e-05,0.00022163521847239255,6.536550980393908e-05,0.0002273404774749133,6.704812669954647e-05,0.00023311220896784243,6.87503479173073e-05
13,WASP-25b,7.762570511290741e-05,2.4287469087250366e-05,7.987141457795651e-05,2.4990104884657847e-05,8.219209392980456e-05,2.5716197200823585e-05,8.458241422550951e-05,2.6464078720303757e-05,8.703784822168323e-05,2.7232332962775518e-05,8.955451767238635e-05,2.801974650572337e-05,9.212907446655366e-05,2.8825271794811042e-05,9.475860717719134e-05,2.964799790506839e-05,9.744056690470513e-05,3.04871273388107e-05,0.00010017270792006503,3.13419574541191e-05,0.00010295303976909294,3.221186547926803e-05,0.00010577978833168115,3.309629632896443e-05,0.00010865136393633846,3.399475262805214e-05,0.00011156633507703636,3.490678648805962e-05,0.00011452340661141571,3.5831992685872105e-05,0.00011752140156859145,3.677000297177199e-05,0.00012055924588346208,3.772048129312165e-05,0.0001236359555183906,3.868311976500519e-05,0.0001267506255438942,3.965763525380332e-05,0.0001299024208357766,4.064376646651942e-05
14,LHS1140c,0.00010656024382412254,1.9969015853565142e-05,0.00010600738534702696,1.9865412114518516e-05,0.0001057487785644248,1.9816950110713932e-05,0.00010574240928073363,1.9815756529295192e-05,0.00010595422783018753,1.9855450582352217e-05,0.00010635636950578652,1.993081052154933e-05,0.00010692582600384055,2.0037524671493705e-05,0.0001076434412949912,2.017200325948755e-05,0.0001084931440232402,2.0331234569798995e-05,0.00010946135450872683,2.051267381806293e-05,0.00011053652213881992,2.071415645999462e-05,0.00011170876118007254,2.0933829943827643e-05,0.00011296956162853534,2.1170099524677046e-05,0.00011431155780866346,2.1421584900786293e-05,0.00011572834180574824,2.1687085251419487e-05,0.00011721431199227554,2.196555085123235e-05,0.00011876454923737362,2.2256059872357006e-05,0.00012037471511277277,2.2557799308555973e-05,0.00012204096769706676,2.287004919723611e-05,0.00012375989155093893,2.319216949705166e-05
15,TOI-1199b,5.0767849848309405e-05,1.6064930354908297e-05,5.222438408324985e-05,1.652583466962268e-05,5.373024752369025e-05,1.700234867143604e-05,5.528189594008972e-05,1.749335082770702e-05,5.687631998828456e-05,1.7997888864416763e-05,5.8510943156188254e-05,1.8515147472519248e-05,6.0183542354650376e-05,1.9044423179787835e-05,6.189218550683384e-05,1.9585104601656878e-05,6.363518203948811e-05,2.0136656774727097e-05,6.541104326759869e-05,2.0698608620921517e-05,6.721845043818352e-05,2.127054283529467e-05,6.905622875664669e-05,2.1852087666956563e-05,7.092332612527232e-05,2.2442910191101772e-05,7.281879562238035e-05,2.304271076473012e-05,7.474178097290015e-05,2.3651218428968697e-05,7.669150442782246e-05,2.426818707365714e-05,7.866725659617947e-05,2.4893392219789037e-05,8.066838786946519e-05,2.5526628305863594e-05,8.269430115245888e-05,2.616770638763429e-05,8.474444567175613e-05,2.6816452178886354e-05
16,TOI-1273b,4.97315865298748e-05,1.4159388379285988e-05,5.115235471068263e-05,1.4563904098021498e-05,5.262159490583598e-05,1.4982220584529266e-05,5.413580569818986e-05,1.5413340928622156e-05,5.5692014926544946e-05,1.5856418907855167e-05,5.7287678620924004e-05,1.6310730212761295e-05,5.892060237694041e-05,1.6775650060860438e-05,6.058887957169989e-05,1.7250635605725674e-05,6.229084236025326e-05,1.7735211984879458e-05,6.402502247077604e-05,1.8228961157546096e-05,6.579011958443826e-05,1.8731512901888425e-05,6.758497563878888e-05,1.924253749876503e-05,6.940855379610776e-05,1.9761739743679333e-05,7.125992111446132e-05,2.0288854012948375e-05,7.313823417942641e-05,2.082364017282186e-05,7.504272711962443e-05,2.1365880167310532e-05,7.697270155422241e-05,2.1915375156076868e-05,7.892751811591416e-05,2.24719431008905e-05,8.090658926623723e-05,2.3035416720032558e-05,8.290937317686994e-05,2.3605641746201754e-05
17,TOI-5803b,3.764405627806337e-05,9.998110373117763e-06,3.85763647425774e-05,1.0245727762199055e-05,3.954939380853628e-05,1.0504160379711047e-05,4.055972390297098e-05,1.0772500000787618e-05,4.16044751338493e-05,1.1049981737655041e-05,4.268120169477857e-05,1.1335955993944517e-05,4.378781016092345e-05,1.1629866764415616e-05,4.49224956182877e-05,1.1931234671149683e-05,4.608369125612059e-05,1.2239643575495136e-05,4.727002823058565e-05,1.2554729918018863e-05,4.848030344162058e-05,1.2876174160169437e-05,4.971345346220065e-05,1.3203693859994043e-05,5.0968533292053106e-05,1.353703802921024e-05,5.2244698924900584e-05,1.3875982503135705e-05,5.35411929529052e-05,1.4220326117286338e-05,5.485733260719623e-05,1.4569887530988372e-05,5.6192499765428565e-05,1.4924502573425972e-05,5.754613255766708e-05,1.528402201419779e-05,5.8917718278779484e-05,1.564830968087694e-05,6.030678737484652e-05,1.6017240861825635e-05
18,TOI-3819b,0.00011279108073152365,3.507717985058862e-05,0.00011612574780139579,3.61142362897424e-05,0.00011956764678041615,3.7184641048094106e-05,0.0001231093744581197,3.828609178273445e-05,0.00012674463181913532,3.9416629547143715e-05,0.00013046801468250156,4.057457368158974e-05,0.00013427485057880163,4.1758471083140875e-05,0.00013816107038281574,4.296705628438386e-05,0.00014212310635863237,4.4199219746218477e-05,0.0001461578104823628,4.545398245683456e-05,0.00015026238848100617,4.67304754182939e-05,0.00015443434616056894,4.802792295497812e-05,0.00015867144542390795,4.934562903546789e-05,0.00016297166798837225,5.0682965989001626e-05,0.00016733318526699695,5.203936513875292e-05,0.0001717543332176608,5.341430898010716e-05,0.0001762335912227428,5.48073246123932e-05,0.00018076956425889848,5.621797819381761e-05,0.00018536096776832812,5.764587023654254e-05,0.00019000661476051663,5.909063159542362e-05
19,TOI-4791b,6.361379036887945e-05,1.894740219426006e-05,6.556407722987007e-05,1.9528296200655376e-05,6.75732957835391e-05,2.0126743043891437e-05,6.963758626533044e-05,2.07415930909878e-05,7.175365552051794e-05,2.1371865474011217e-05,7.391867045407849e-05,2.2016716354062204e-05,7.613017487074183e-05,2.2675414152038445e-05,7.838602392622506e-05,2.3347320024899188e-05,8.068433198345402e-05,2.4031872334612352e-05,8.30234307758457e-05,2.4728574187065324e-05,8.540183557071064e-05,2.543698335381588e-05,8.781821759709708e-05,2.6156704059710545e-05,9.027138141961206e-05,2.6887380243664814e-05,9.276024624759335e-05,2.7628689991589835e-05,9.528383039841903e-05,2.8380340908780683e-05,9.784123830622346e-05,2.9142066250455293e-05,0.00010043164959814635,2.991362166810931e-05,0.00010305430986027408,3.069478245914665e-05,0.00010570852279254295,3.1485341230213174e-05,0.00010839364351170268,3.228510590248067e-05
20,TOI-4377b,4.606539713903492e-05,1.345800441688165e-05,4.714769393560891e-05,1.3774197394111562e-05,4.8281721783163525e-05,1.4105503596361236e-05,4.9462944128944365e-05,1.445059766987715e-05,5.0687549242916025e-05,1.4808366017841769e-05,5.195230734578422e-05,1.5177865060329424e-05,5.3254460253774866e-05,1.5558288994031792e-05,5.459163525238344e-05,1.5948944630476282e-05,5.596177723102539e-05,1.634923156916617e-05,5.736309472722377e-05,1.6758626434391608e-05,5.879401667088164e-05,1.7176670238070054e-05,6.02531574358198e-05,1.760295816955409e-05,6.173928839660692e-05,1.8037131285960148e-05,6.325131462082384e-05,1.847886970281424e-05,6.478825564619316e-05,1.8927886978090903e-05,6.63492295301482e-05,1.9383925452295273e-05,6.793343953867725e-05,1.9846752359609308e-05,6.954016297732024e-05,2.031615656486778e-05,7.116874177130416e-05,2.0791945811545153e-05,7.281857448204336e-05,2.1273944389376347e-05
21,Wolf327b,4.2799360531114465e-05,2.7605625110773902e-05,4.3069598085452e-05,2.7779928570529356e-05,4.342297920829988e-05,2.8007859704955325e-05,4.384901232523267e-05,2.8282651439338157e-05,4.433908822315258e-05,2.859875082367283e-05,4.488607770829449e-05,2.8951559521723015e-05,4.548402733691929e-05,2.933723755705119e-05,4.612792664202377e-05,2.975255317404224e-05,4.68135281459127e-05,3.0194766745854402e-05,4.753720680479866e-05,3.066154011606282e-05,4.8295849232579174e-05,3.1150865147898544e-05,4.908676564320678e-05,3.1661006926999936e-05,4.990761928995228e-05,3.2190458249675526e-05,5.0756369499825885e-05,3.273790288005565e-05,5.163122535948201e-05,3.3302185677460366e-05,5.253060781154364e-05,3.3882288148495473e-05,5.345311844063391e-05,3.447730831401539e-05,5.439751361729524e-05,3.508644403192835e-05,5.536268296117621e-05,3.570897910593301e-05,5.634763130770608e-05,3.634427165400773e-05
22,HD118203b,1.3267808300927823e-05,3.3152307331670946e-06,1.3661052297943015e-05,3.4134907136378007e-06,1.4066887473439374e-05,3.514896855171494e-06,1.4484447547823446e-05,3.619232700259397e-06,1.4912995314538537e-05,3.7263140429062187e-06,1.535189818046107e-05,3.83598281690258e-06,1.5800609106094316e-05,3.948102333346239e-06,1.6258651605076028e-05,4.062553532465134e-06,1.6725607828891433e-05,4.179232006341504e-06,1.7201109020427682e-05,4.298045613539033e-06,1.768482780367667e-05,4.41891255252888e-06,1.8176471909349126e-05,4.541759793907232e-06,1.8675779032764916e-05,4.666521795535001e-06,1.91825125915679e-05,4.793139442516929e-06,1.969645820379468e-05,4.921559167175707e-06,2.0217420746611955e-05,5.051732214117902e-06,2.0745221886186313e-05,5.183614023021876e-06,2.1279697992171566e-05,5.317163707530196e-06,2.1820698368026336e-05,5.4523436130586215e-06,2.2368083742114148e-05,5.589118939766891e-06
23,TOI-1470b,9.987426953935312e-05,2.43709387684501e-05,0.00010077993699473093,2.4591936290648683e-05,0.00010186325039137297,2.485628229866832e-05,0.0001031026535555194,2.5158716737109284e-05,0.00010448040082917625,2.549490937811238e-05,0.0001059817518777724,2.5861263341390857e-05,0.00010759436081820882,2.625476603158421e-05,0.00010930780747937753,2.667287475823571e-05,0.00011111323392829086,2.711342804228321e-05,0.00011300305986392362,2.757457616754872e-05,0.00011497075773858598,2.8054726306712543e-05,0.00011701067356616598,2.855249879562327e-05,0.00011911788300486063,2.906669201515408e-05,0.00012128807491380024,2.9596253977133814e-05,0.00012351745648378628,3.014025917471108e-05,0.0001258026754399264,3.069788959853759e-05,0.0001281407558515274,3.126841907334279e-05,0.0001305290448618567,3.1851200259133234e-05,0.00013296516823769824,3.244565380456447e-05,0.00013544699308594746,3.30512592491867e-05
24,V1298Taub,2.0987566848276564e-05,3.764593646312252e-06,2.147997349887294e-05,3.852917889024038e-06,2.1995972216436455e-05,3.9454739012425e-06,2.2533491858367253e-05,4.04189017681219e-06,2.3090792298290232e-05,4.141854584806124e-06,2.3666399166228496e-05,4.245102663703465e-06,2.4259053443742293e-05,4.351408580140436e-06,2.4867672127335594e-05,4.460578073004751e-06,2.549131723344171e-05,4.5724428937804664e-06,2.6129171157026577e-05,4.686856386557507e-06,2.678051691760299e-05,4.803689944708615e-06,2.744472219956297e-05,4.922830148162876e-06,2.8121226363678365e-05,5.044176433625296e-06,2.880952980403439e-05,5.167639185502698e-06,2.950918517052471e-05,5.293138161460171e-06,3.0219790085826407e-05,5.420601186046211e-06,3.094098106766109e-05,5.549963060513117e-06,3.1672428429291356e-05,5.681164648105977e-06,3.241383197875694e-05,5.814152102623634e-06,3.3164917374005255e-05,5.948876214629117e-06
25,TOI-2109b,3.882324507571282e-05,2.3866873436757458e-05,4.010433193962732e-05,2.4654430942136303e-05,4.141963724553223e-05,2.5463024484626305e-05,4.27671810491392e-05,2.6291436879016646e-05,4.4145262836278565e-05,2.713862272180266e-05,4.555240999674196e-05,2.800367671510427e-05,4.698733745353297e-05,2.8885808848453e-05,4.844891572283904e-05,2.9784324763426466e-05,4.9936145414079985e-05,3.0698610077366924e-05,5.14481366986343e-05,3.162811776163089e-05,5.2984092647794025e-05,3.2572357898475165e-05,5.454329561005968e-05,3.353088930639943e-05,5.6125095995410035e-05,3.450331264519416e-05,5.7728902980379265e-05,3.5489264701818975e-05,5.9354176757058386e-05,3.6488413625419594e-05,6.10004220315339e-05,3.750045493044555e-05,6.26671825399677e-05,3.852510812537028e-05,6.435403639856625e-05,3.95621138540507e-05,6.606059214082399e-05,4.06112314595936e-05,6.778648532430421e-05,4.1672236898349506e-05
